Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4f6b1ac0dd2f063f05936cf58b549e3914cd4cccb9676e1e258a6b7f7483ce6d,2024-12,Durham Constabulary,Durham Constabulary,-1.539876,54.523303,On or near B6280,E01012304,Darlington 012A,Investigation complete; no suspect identified
70a3a3d6bd1448faef8fd0d07ec0223426074c2aa0d70757d5ec4d75aa5f0c96,2024-12,Durham Constabulary,Durham Constabulary,-1.509257,54.525672,On or near Henson Road,E01035183,Darlington 009E,Investigation complete; no suspect identified
e3fa5de732675516ad6330506488892ce8c4a61585cd0f75c0c5ed446933df5f,2024-12,Durham Constabulary,Durham Constabulary,-1.647067,54.781034,On or near Grant Close,E01034494,County Durham 031D,Unable to prosecute suspect
901e0c44e46c7ef697e789efac83c6b7b48e097741fe34207db16229fe52aa39,2024-12,Durham Constabulary,Durham Constabulary,-1.678733,54.871876,On or near Masefield Close,E01020674,County Durham 004D,Unable to prosecute suspect
9366aafae9419a4db081ab12bff2946108a1d44ab5d90c75e5febeeeafe0e18e,2024-12,Durham Constabulary,Durham Constabulary,-1.694304,54.869229,On or near A693,E01020675,County Durham 008E,Unable to prosecute suspect
3d256d3c8d874b4ab9815a303d2a8869477b56a66ef1acd5ecfa79f5c9bd70f9,2024-12,Durham Constabulary,Durham Constabulary,-1.338418,54.830114,On or near Hill Street,E01020742,County Durham 017C,Investigation complete; no suspect identified
f41d8a6d4f45d7a91ea5d4292963fe341186a48bd1f35d5ab7dd1f75e133ec2e,2024-12,Durham Constabulary,Durham Constabulary,-1.553205,54.547770,On or near Longfield Road,E01012323,Darlington 002C,Unable to prosecute suspect
4ce334290d7ac93acc446c9c3eef192dc87a80d0b3565f38ff5ac891f06ad280,2024-12,Durham Constabulary,Durham Constabulary,-1.612908,54.802246,On or near Trout's Lane,E01020680,County Durham 026B,Suspect charged
f8169fa8d3eb050b5c1267871aef3c0e76663d02bd52af91c6f6e5e1abecf96b,2024-12,Durham Constabulary,Durham Constabulary,-1.698918,54.703512,On or near Front Street,E01020902,County Durham 051E,Unable to prosecute suspect
cd92ffa9dfebb2b203241fa158f0b895e9fc8f2105bb21e7a808d6658a66a796,2024-12,Durham Constabulary,Durham Constabulary,-1.590225,54.542015,On or near Minors Crescent,E01012312,Darlington 006D,Unable to prosecute suspect
c386060bfd6211c8a5213a4c0da183f36c08115056cbea9a7060d408998aac55,2024-12,Durham Constabulary,Durham Constabulary,-1.563094,54.773688,On or near Green Lane,E01033197,County Durham 030F,Unable to prosecute suspect
3c7a4ebde9a38e7075d1e2200786c66a8f809e16d99e17a0b5e23a1e4a3829f6,2024-12,Durham Constabulary,Durham Constabulary,-1.390927,54.821681,On or near Burnip Road,E01020775,County Durham 018F,Suspect charged
3c7a4ebde9a38e7075d1e2200786c66a8f809e16d99e17a0b5e23a1e4a3829f6,2024-12,Durham Constabulary,Durham Constabulary,-1.390927,54.821681,On or near Burnip Road,E01020775,County Durham 018F,Suspect charged
0afd26e06280e1307dab912785c94f20e27cdd10ef778fd2916522f85ed3bbee,2024-12,Durham Constabulary,Durham Constabulary,-1.934491,54.543023,On or near Burnhope Way,E01020854,County Durham 067F,Suspect charged
67e704ab621206a24b1686e56319d0863aefd7e1b3cd8e4deb2b90f2a4590887,2024-12,Durham Constabulary,Durham Constabulary,-1.934491,54.543023,On or near Burnhope Way,E01020854,County Durham 067F,Suspect charged
d1272e9d505eb012c0251b6d2d5ed8e0934cac4bc372271378199bd2d6bfe913,2024-12,Durham Constabulary,Durham Constabulary,-1.610437,54.695118,On or near Belle Vue Villas,E01034504,County Durham 052G,Further investigation is not in the public interest
49b9fb4bc9819d6ed35c865e2cf0ca476163f5bbabe055834e2d4f93866d9e17,2024-12,Durham Constabulary,Durham Constabulary,-1.550922,54.510700,On or near Severn Way,E01012359,Darlington 014D,Suspect charged
af196efafe8bafacfff94929aeee1ff6ff6feb788684686a61b2b4482203f4c1,2024-12,Durham Constabulary,Durham Constabulary,-1.540010,54.839474,On or near Scorer's Lane,E01020608,County Durham 015C,Unable to prosecute suspect
3f3fa40245b5d71ab820711c7c953a803e2ff0909729f3b76f170e0a453dc486,2024-12,Durham Constabulary,Durham Constabulary,-1.317839,54.756175,On or near Eastfield,E01020744,County Durham 039E,Unable to prosecute suspect
94043d90c50aea31cf4e06306871b84853a2d8f3e04096d8bdff9503895a051e,2024-12,Durham Constabulary,Durham Constabulary,-1.465169,54.656218,On or near Park/Open Space,E01020828,County Durham 054B,Unable to prosecute suspect
9fcb5931ef276caad6c37bedd5a1d61498756157e9227d7d01f714af4261bfa0,2024-12,Durham Constabulary,Durham Constabulary,-1.481497,54.720319,On or near Ramona Avenue,E01020699,County Durham 044C,Unable to prosecute suspect
