Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a462afe49297f131a89c2af94082e6993c9d19d0b35609f66bfab1a372119f5c,2024-12,Northamptonshire Police,Northamptonshire Police,-0.937168,52.240124,On or near Westgate Road,E01027237,West Northamptonshire 033C,Suspect charged
f65177d302f24012baff60937caba0a8c560c7362d3078e8ae21c91b8396874c,2024-12,Northamptonshire Police,Northamptonshire Police,-0.853361,52.256305,On or near James Lewis Court,E01027180,West Northamptonshire 018B,Unable to prosecute suspect
35ca3b9b6e1ad47de5656bd1c8c533455b9cf6e3f37a5ec3897e6ac045c91880,2024-12,Northamptonshire Police,Northamptonshire Police,,,No location,,,Investigation complete; no suspect identified
6899877e254333d3c5ed495266920dc128023e7549a993a71b2f2e4fcff4d888,2024-12,Northamptonshire Police,Northamptonshire Police,-1.157082,52.040956,On or near Wren Close,E01027270,West Northamptonshire 051B,Unable to prosecute suspect
715784fc920135bc457a1d18ac60163fa6a2092a91ee1fa8ec6ee4db80f8c9cb,2024-12,Northamptonshire Police,Northamptonshire Police,,,No location,,,Further investigation is not in the public interest
9027f66ce7a4decb071f3fe875ec62b4b51866d060d79d51d1f1598097724dcc,2024-12,Northamptonshire Police,Northamptonshire Police,-0.717097,52.500053,On or near Scapa Road,E01026976,North Northamptonshire 003D,Action to be taken by another organisation
4fb7fd7f92a6ddf10f5711c04ccdbef39b02c481452024bd18c8d95bf1d16ca9,2024-12,Northamptonshire Police,Northamptonshire Police,,,No location,,,Unable to prosecute suspect
f18d06ffe26ab2cdcf6438ab886e4a05a94b25c0bdb73ded375d100d23ee8070,2024-12,Northamptonshire Police,Northamptonshire Police,,,No location,,,Investigation complete; no suspect identified
714ad1798324eba761b18dce974b8971364c487a6448d543dcda202fc659687d,2024-12,Northamptonshire Police,Northamptonshire Police,,,No location,,,Investigation complete; no suspect identified
6dbf9cbac5779f654fe97434a1ddd474168825b90567b3a8f4030af9fd79b47e,2024-12,Northamptonshire Police,Northamptonshire Police,-0.539898,52.350154,On or near Orwell Close,E01027055,North Northamptonshire 025E,Action to be taken by another organisation
fa7f973e6bd7f5b6a2697b6efbd364310faaef66f509502c59014f0596853609,2024-12,Northamptonshire Police,Northamptonshire Police,-0.999139,52.138126,On or near A43,E01027303,West Northamptonshire 045E,Investigation complete; no suspect identified
