Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
87ceff35bb313071966f6bcb3314648585644c9d384a369f40e9a51863b71ba4,2024-12,Sussex Police,Sussex Police,-0.146932,50.831152,On or near Chatham Place,E01016967,Brighton and Hove 024D,Unable to prosecute suspect
c825ba5d3a86fc910e6507b69dfb57b32393ee6d8343dd81bf4b8e3ff55e23bb,2024-12,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
011d8c29f21db6a712fee26c61c4d0410b6e5807d38b129afbaba86504640d69,2024-12,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
be12ad78ea6c464208feccadddfed9c0c6ec2a8490a6d0347fa6b0bdd8640214,2024-12,Sussex Police,Sussex Police,-0.138302,50.819998,On or near Pool Valley,E01016952,Brighton and Hove 027A,Unable to prosecute suspect
4c8a54ab82b955c427035c648d70a09be2e15c577bfa86df440381ff37b2617f,2024-12,Sussex Police,Sussex Police,-0.140295,50.825561,On or near Bread Street,E01016969,Brighton and Hove 027E,Investigation complete; no suspect identified
44bbfdb887aa8721ce6eb2152c3a5b35a541cd6251f39202243f2cd0a567e64a,2024-12,Sussex Police,Sussex Police,-0.131002,50.819701,On or near Rock Place,E01016945,Brighton and Hove 030B,Unable to prosecute suspect
7d4f14f52fbb40c59e78bba1dece5676333474894e62f80b23b9f00c0a8bf5c1,2024-12,Sussex Police,Sussex Police,-0.132864,50.828896,On or near Tamplin Terrace,E01016894,Brighton and Hove 022C,Unable to prosecute suspect
722eab6aded8a08fa10750381e836602730f2c5a0d32e74e39c035c0a08a0868,2024-12,Sussex Police,Sussex Police,-0.365747,51.063827,On or near Buck Way,E01035339,Horsham 007H,Unable to prosecute suspect
be056f677d62345af5218d186fc8547ba38427bb8f512076f6227e5f7e65b310,2024-12,Sussex Police,Sussex Police,-0.405286,50.913947,On or near Lamorna Close,E01031629,Horsham 015E,Unable to prosecute suspect
4b4908cb986a32502d9ab23e25b25d2bcbc8f47775548aee37686b517a78f543,2024-12,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
eafd99bb8fcf89926b16d6771794fd717abdacb3e36b4750e6dfec99ff47490c,2024-12,Sussex Police,Sussex Police,-0.392400,50.930399,On or near Fairfield Way,E01031622,Horsham 015A,Unable to prosecute suspect
2369222d59d7e0874359b90f14055bc5f19ae0ccd2261ea743a21ae5f4c23c5f,2024-12,Sussex Police,Sussex Police,-0.331028,50.892468,On or near Coxham Lane,E01031685,Horsham 016D,Investigation complete; no suspect identified
