Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b76e583eb1591384cb23b658eba56dfca829fa51f3c3a3fc8dbf81ae024f8ef4,2024-12,Thames Valley Police,Thames Valley Police,-0.815481,51.815241,On or near Friarage Road,E01032955,Buckinghamshire 015D,Unable to prosecute suspect
0effab77b68a3a2c543c6ddd8044ae972c7c8d3ff1c266bbcf3f39b258909a3b,2024-12,Thames Valley Police,Thames Valley Police,-0.585796,51.506541,On or near Parking Area,E01016511,Slough 011A,Investigation complete; no suspect identified
7111315331a8858662c1c1f46464ceaeaf9822db9b30dd229b026fc3d3a12ec8,2024-12,Thames Valley Police,Thames Valley Police,-0.618414,51.537160,On or near Bishops Orchard,E01017832,Buckinghamshire 064C,Investigation complete; no suspect identified
bcbd0820c5d828576ddd50979cfa4d3ebf7df628b27ac0a9fcc4065f3d8e6911,2024-12,Thames Valley Police,Thames Valley Police,-0.642114,51.835667,On or near Newells Hedge,E01017701,Buckinghamshire 008E,Investigation complete; no suspect identified
60aeee21c73d4a3e838d8ae9141ec715c6ee4599ab47514f5f56de6c19b6467a,2024-12,Thames Valley Police,Thames Valley Police,-0.960644,51.451593,On or near Petrol Station,E01033417,Reading 010F,Investigation complete; no suspect identified
1f385fd112db240c746b43280edcb9cf909ef9baffd93b472697d4dc85d04183,2024-12,Thames Valley Police,Thames Valley Police,-0.531810,51.535066,On or near Uxbridge Road,E01017834,Buckinghamshire 064D,Investigation complete; no suspect identified
ce34ffb9ef13b9857a447fe4eb19e20e5839e9d46860f350eebe7669bd436f4b,2024-12,Thames Valley Police,Thames Valley Police,-0.493370,51.559091,On or near Moat Place,E01017812,Buckinghamshire 059C,Unable to prosecute suspect
93e57b7cc1ac5ba2cc6f3e6a459bf22da802ce6d01b48f7473eee7640b235146,2024-12,Thames Valley Police,Thames Valley Police,-1.027328,51.449672,On or near Chelt Close,E01016394,Reading 009A,Investigation complete; no suspect identified
d1c04f5c49f909142ec8d9c57b443e0d8297651eda04b12efbe5b5aaf388a430,2024-12,Thames Valley Police,Thames Valley Police,-1.206969,51.714989,On or near Grenoble Road,E01028568,Oxford 018B,Investigation complete; no suspect identified
fd5520885f518ad70a33afe7cbfeb549120ee97148ecd7b21ea7f2a07876b8e6,2024-12,Thames Valley Police,Thames Valley Police,-1.343240,51.449079,On or near Pebble Lane,E01016326,West Berkshire 018D,Investigation complete; no suspect identified
14580d29fef94414921a9a8298d548bc868221a8b06d4009be7adc6a2f38724a,2024-12,Thames Valley Police,Thames Valley Police,-0.988272,51.998503,On or near Elm Street,E01017645,Buckinghamshire 002B,Investigation complete; no suspect identified
4bea4261f485ff0922eac378ed6e43409f3bbe4cd671f1a4b779f0cad5fddb3a,2024-12,Thames Valley Police,Thames Valley Police,-0.846548,51.406252,On or near Supermarket,E01016634,Wokingham 016D,Unable to prosecute suspect
4a8488d18860924b2f8af0a366f1573fbd64ea18b75e9a65b75ddfd8ecc36e4f,2024-12,Thames Valley Police,Thames Valley Police,-0.572349,51.522321,On or near Glenrose Close,E01016521,Slough 005F,Investigation complete; no suspect identified
b0dc7364b76518b7151e0817e95574db40bd9898ed1985adb01eed67a68a93f0,2024-12,Thames Valley Police,Thames Valley Police,-0.966780,51.460160,On or near Kingfisher Place,E01033415,Reading 019B,Investigation complete; no suspect identified
7ae1e6a12fe9e65f21473fb28dcf031af4e040bb6fea8d692e2d78a971186bb3,2024-12,Thames Valley Police,Thames Valley Police,-0.747038,51.413337,On or near Mount Lane,E01035241,Bracknell Forest 007F,Investigation complete; no suspect identified
1eae4a48a753c7cdcf4960305fbbc8d105164805ae6fd6477fc14df9d0725e0d,2024-12,Thames Valley Police,Thames Valley Police,-0.679470,51.507039,On or near Meadow Way,E01017814,Buckinghamshire 065C,Investigation complete; no suspect identified
cf007518d654b8775275ec73286e158fe45985960ec660e5c38a6f6c4bca4d80,2024-12,Thames Valley Police,Thames Valley Police,-0.960641,51.738164,On or near Chinnor Road,E01028672,South Oxfordshire 003C,Investigation complete; no suspect identified
8ba588df9e21a1b6a4d69e2cbbe9fabb7ed9ad0015c68209cee103181aee3106,2024-12,Thames Valley Police,Thames Valley Police,-1.223640,51.859670,On or near Knowle Lane,E01028497,Cherwell 016B,Investigation complete; no suspect identified
00b557b22affd9c8f962ab94544bce90a0350305d444b4493561603902e5ff5d,2024-12,Thames Valley Police,Thames Valley Police,-1.259070,51.620560,On or near Purchas Road,E01028753,Vale of White Horse 010D,Investigation complete; no suspect identified
c4552bccda47c756c2ccd0e72dfaad99e992dfe72068d287a3d511def59652b4,2024-12,Thames Valley Police,Thames Valley Police,-1.313019,51.396395,On or near Christopher Court,E01016348,West Berkshire 019D,Investigation complete; no suspect identified
3cb65b1a4a577344861be79e6058e5616b81a4fcb97239fd9fe4ef8df24d754a,2024-12,Thames Valley Police,Thames Valley Police,-1.204719,51.736832,On or near Wilkins Road,E01028558,Oxford 020C,Investigation complete; no suspect identified
7a4f38774599c99bfc1cb58d6f563f62c1fe879f7e6d1e35e5108e24b83ea722,2024-12,Thames Valley Police,Thames Valley Police,-0.760935,51.630891,On or near West End Road,E01017837,Buckinghamshire 049B,Unable to prosecute suspect
2014ea4c582a448cf591d3df9226cb8817122efbc155bc2d86b2f68022090067,2024-12,Thames Valley Police,Thames Valley Police,-1.268256,51.757034,On or near Nelson Street,E01028551,Oxford 009D,Investigation complete; no suspect identified
f60d04d84e9aa5d847a55fe90020132c1016ffdf7597addc82c24d7d7282f6d5,2024-12,Thames Valley Police,Thames Valley Police,-0.749175,52.083332,On or near Supermarket,E01034446,Milton Keynes 002G,Unable to prosecute suspect
9668c15fb0d2d388baefaa5c7a0cec4ee934d4f0cb5fb4da0f3b7e55f218b0ec,2024-12,Thames Valley Police,Thames Valley Police,-0.558977,51.589283,On or near Bulstrode Way,E01017820,Buckinghamshire 058C,Investigation complete; no suspect identified
40d6c22f6b9a90901f44ffd6da57f85ee5185738da6ae3950db3ea4e2da28cbf,2024-12,Thames Valley Police,Thames Valley Police,-0.756915,51.631203,On or near Bus/Coach Station,E01017837,Buckinghamshire 049B,Unable to prosecute suspect
c5451e65e14a8d6d5eaa684cdb3935d608438310acbf219c7b8dc7b82c7b8071,2024-12,Thames Valley Police,Thames Valley Police,-0.717640,51.511918,On or near Sports/Recreation Area,E01016592,Windsor and Maidenhead 004E,Investigation complete; no suspect identified
5053f5217571ec4489f77d344e481d63dbe422fdaacd83f50c5203530b161ea9,2024-12,Thames Valley Police,Thames Valley Police,-1.196688,51.718480,On or near Angelica Close,E01028520,Oxford 018A,Investigation complete; no suspect identified
