Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1b6a3ffa5e7511eb43bc940d962146e955562dcc34b7fbf97e7862f8f0031616,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.748885,54.663681,On or near Friargate,E01019327,Eden 003A,Local resolution
c449b512dee28caa7b54e733043ba42a108a39720fd15f0c7672a28708a0ad71,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.745987,54.327229,On or near Parking Area,E01019360,South Lakeland 004A,Local resolution
2adc9f4170721e57ac6c983deb2e5fc7dd20908b4151fec4d4a31d94d4dc8a9f,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.924020,54.512332,On or near Parking Area,E01019339,Eden 005D,Unable to prosecute suspect
14bf48407826159d692abe9f1c99234bc698bd7dbae89385a9ac3caa63920f20,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.748885,54.663681,On or near Friargate,E01019327,Eden 003A,Investigation complete; no suspect identified
ca0daa25cb653450400d17d09e7a3ecbb3b7917595e6ef613b933bd8d810c9c5,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.487613,54.579712,On or near Bellevue Road,E01019307,Eden 006B,Local resolution
66970aa9061b313af95b180dbb82c2a80a7fe7aa4c9d7e3416e9b2893d255f9e,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.731856,54.665070,On or near Aspen Gardens,E01019326,Eden 004B,Suspect charged
51ddeb069df1fb59f29a289ac2b3167ddacac397c22b46cf5a73a5899f0846da,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.965174,54.880497,On or near Whinrigg,E01019230,Carlisle 009C,Suspect charged
da38ce528b6a21d3e395627758eb9a8a8c7035acd3758f16f0e1b03c92bacf01,2025-01,Cumbria Constabulary,Cumbria Constabulary,-3.095387,54.196244,On or near Lower Brook Street,E01019392,South Lakeland 012D,Unable to prosecute suspect
569def64d0e142ba746e6aee4e59f1382431557c5e226c4009ab37f2cfa1daaf,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.587634,54.442758,On or near Sports/Recreation Area,E01019325,Eden 007D,Action to be taken by another organisation
6fa3587a21b2cb604ddc25ad8ccf21c882713f55c4e1c35e4254fb452a1fc4b9,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.931409,54.890439,On or near Collier Lane,E01019211,Carlisle 010B,Investigation complete; no suspect identified
17c09f23882ecb5e540f5b6c48fb4e231ac85aa31c702832dad98ce5544428a9,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.931409,54.890439,On or near Collier Lane,E01019211,Carlisle 010B,Investigation complete; no suspect identified
55049ec9e6fbac14d7d026187636c83d2bd7e6fcfa1cab1406070d587684bb55,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.752443,54.662410,On or near Two Lions Square,E01019333,Eden 003C,Investigation complete; no suspect identified
e776beb725902fc61ec6c7e0b5661274f833a036d872478b03c373b2608c28c7,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.755475,54.320582,On or near Echo Bank,E01019364,South Lakeland 004C,Unable to prosecute suspect
6e079cf25ca6732a8a88df743abda00ac71aa0626160eae4765dbfcb7376b7f9,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.563543,54.623274,On or near Main Street,E01019319,Eden 006D,Unable to prosecute suspect
389c7294447ab48ce055c03fdbd7695c153aa7fbe3c1ab0f273bfe1a4082914b,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.875480,55.090392,On or near Park/Open Space,E01019229,Carlisle 001D,Unable to prosecute suspect
51db0d5899745fea7fbba4a6ed537bf38ac88fa6c08b44e40647904689eeb1d9,2025-01,Cumbria Constabulary,Cumbria Constabulary,-3.206305,54.117356,On or near Bridgegate Avenue,E01019175,Barrow-in-Furness 007F,Unable to prosecute suspect
c38648ff6aa173ff8dc464390a17cd65fd0d7dc924f7760125159f131781114e,2025-01,Cumbria Constabulary,Cumbria Constabulary,-2.758832,54.307529,On or near Parking Area,E01019383,South Lakeland 010D,Local resolution
df1077ded6aa2e5131adbd33053f804d46df5bf338ecb5bfed54c5e251f3965a,2025-01,Cumbria Constabulary,Cumbria Constabulary,-3.232605,54.115292,On or near Rodney Street,E01019158,Barrow-in-Furness 008E,Action to be taken by another organisation
44155bc0bdca7c94edf83c7974105224f6d8a6ba964f959e6eaebd05529f1950,2025-01,Cumbria Constabulary,Cumbria Constabulary,-3.556246,54.644107,On or near Milburn Street,E01019121,Allerdale 009E,Unable to prosecute suspect
cff6851626da2656d6d849bce06262226d378939fd1c5629b861fc0367984f3d,2025-01,Cumbria Constabulary,Cumbria Constabulary,-3.215351,54.113319,On or near Mardale Grove,E01034069,Barrow-in-Furness 007G,Investigation complete; no suspect identified
