Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eb7ee11b20389da20091bab9da9b6bdd008b92e7a12fabbdc12c206d2f716cbe,2025-02,South Wales Police,South Wales Police,-3.525745,51.508121,On or near Duffryn Close,W01001003,Bridgend 015D,Investigation complete; no suspect identified
098f7aed7c50a39ee8df42f9802052b6711e02c8dc74cff3f112574574b34d42,2025-02,South Wales Police,South Wales Police,-3.157498,51.480440,On or near Sanquahar Street,W01001874,Cardiff 038D,Investigation complete; no suspect identified
9fcda4c4809835162fc1e5e44f136aa7410b4654d9ac5683fa72b2b405bafb8d,2025-02,South Wales Police,South Wales Police,-3.164914,51.464064,On or near Bute Crescent,W01001943,Cardiff 048B,Investigation complete; no suspect identified
765b29b02e555cc414cc8d36611838bdd785b2166aa2c75d3da7cbef51128532,2025-02,South Wales Police,South Wales Police,-3.202057,51.488786,On or near William Street,W01001858,Cardiff 034A,Investigation complete; no suspect identified
88ed2716b4ff11a0253e20d656bda0cf1276a6ea294b7006e3b8dedf17ad6915,2025-02,South Wales Police,South Wales Police,-3.196329,51.477946,On or near Littleton Street,W01001857,Cardiff 042C,Investigation complete; no suspect identified
0094b1c9d5454d7cb7ea2e98a3ffc4b617d6ff5cfa312d06130a49337562ae08,2025-02,South Wales Police,South Wales Police,-3.512446,51.423263,On or near Wick Road,W01001110,Vale of Glamorgan 011D,Investigation complete; no suspect identified
5a9571be8df36082c0ac1ec3b475de963e750477b9f292fb03e3876c82a88d5d,2025-02,South Wales Police,South Wales Police,-3.852574,51.661212,On or near Graig Road,W01000916,Neath Port Talbot 010E,Investigation complete; no suspect identified
b0b4720ed0ec03b48ff3a43329220234f626687b411e7a228d1142475ce87eab,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b451e345faa626cd1ad702a572c3ade081485c92512b2eb513bee0372be8924e,2025-02,South Wales Police,South Wales Police,-3.155837,51.522952,On or near Linnet Close,W01001818,Cardiff 009D,Investigation complete; no suspect identified
68dc663a67fa3cd28e84f8f5c3d7c09046177a1c087a90a5476ccef632469c7b,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
942691607dbfc84f9a6145642bc826a5f214128cc598419c4914ed5e24e394a0,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
14b5d59b9b55bbacf2db1bcdd5ba0ea0bd23928050caa75fdaf64e5b33f8cdaa,2025-02,South Wales Police,South Wales Police,-3.153541,51.513084,On or near Llanedeyrn Drive,W01001813,Cardiff 017D,Investigation complete; no suspect identified
7ff024874b4361e8bfebb596b273f65401fdc4e468334cdd375ae26f700d1ef0,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
226e4355556fb689779ca98080e629a248773b9d77a209f4e73a9c22277c2072,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b4b534f98a3ccd55a879f270814b4fbae661d82bf9afc547e34eae5888907c39,2025-02,South Wales Police,South Wales Police,-3.952635,51.636417,On or near Parking Area,W01000767,Swansea 015E,Investigation complete; no suspect identified
b4254a2dcbba01d1516fd1b4e5ba220441aee46d348606303854026be2882793,2025-02,South Wales Police,South Wales Police,-3.130027,51.489403,On or near Clos Avro,W01002021,Cardiff 037F,Investigation complete; no suspect identified
075dd2b7c723dc58febc29a34a2f47dc17f6f625dea34e6d8f0614ebb7549c1d,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b41acb31221ded389504c0d06f196e0b53f7366d892c58f987754c982dfe6a3f,2025-02,South Wales Police,South Wales Police,-3.947503,51.622222,On or near Willows Place,W01000745,Swansea 025B,Investigation complete; no suspect identified
6929f1746fa631677526a1ea884d5542dcc6b7df170803fb5afcc8714798789f,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
188039641c0ad96e79ec7c98171051609b2545b59bf1bb1511e9f33b82eb042e,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f31a386d7cc3482c71568c07970fbcd6c3ef1c0f1581227fc406fdfaad5a9d58,2025-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b0df792e8afd0af1dcc7a4c2b20c588fe6270747746b57db6f429b8bcc3a8315,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
edfd9b88f06caa8a415138f387d0cf5237ca2b22e4d2f6b7809b79381c119894,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
91ffef80638f95a2a20f5a229e09d1f6119fc35dffe2ba10d773525db6186b6d,2025-02,South Wales Police,South Wales Police,-4.045574,51.677242,On or near Heol Crwys,W01000843,Swansea 005E,Unable to prosecute suspect
8710ba21101f594b15a6c04bd3af64d9764b7d78a4a8385e5b4305c0d9bbd07e,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
f406ddc5d011bada5e9e828ed67b94b274a3c8ad68019422194925e9c3b462b3,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
46192e63aa510db24e213f4fa369b229ebfa6abbd54dc99595e11466e12997f7,2025-02,South Wales Police,South Wales Police,-3.895809,51.648795,On or near Hafnant,W01000740,Swansea 014C,Unable to prosecute suspect
f7430b5d09ad609b6ef7f9274cf5dff04f7c80db76f67b526db127e464773dc8,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ed1a44abc0b742c095ad0a1842eeabda6bdc25f1b73206026e4614c4471044bb,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
b417c4ce50c5449371ed380efafd11277cdb3001f76c764ff165be15d8ff5542,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
b3e0f542eaffefb5597f06d61b83689abe6d7ca91a7ec3de20d601f4856d4d08,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
69a68dcca9147e2a08cf042bd976149b0c8279fa7d79be246dc15a92967ccd33,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
cd9418e14b3f642a8f5eaa9a0cb4faa4425df3e6ac234dd6af769b0ecce6569e,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
3c075baedfe4fdc716a5916fbe37ced4e591b391fcd128ca469579e32df83407,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
b53ba8cd85cf5b06bd8fb202f1dc40ae446cd6b1697999fa7be4d5fa24e22884,2025-02,South Wales Police,South Wales Police,-3.182680,51.469695,On or near Cymmer Street,W01001765,Cardiff 044B,Unable to prosecute suspect
9d2c77349c704a8ed66bd52e77d586818dd0c49b42225e745d3e5130aaa86c12,2025-02,South Wales Police,South Wales Police,-3.953215,51.671441,On or near Delfan,W01000791,Swansea 004A,Unable to prosecute suspect
da37ea09437bcc437844652976f87ac2438f485b01e74f5d56c9ca6dd09896c5,2025-02,South Wales Police,South Wales Police,-3.905978,51.695112,On or near Tyle Teg,W01000752,Swansea 002C,Unable to prosecute suspect
d82c71b9c55e6aa5d431ac2715db51f51a594eb4d2461e955b6854812d6dbd21,2025-02,South Wales Police,South Wales Police,-3.650137,51.605873,On or near Maesteg Row,W01001018,Bridgend 002D,Unable to prosecute suspect
ac30eb7ce37fa35b483ccaf98b923ded9e38fa70123b833cb22a3476c44e07d1,2025-02,South Wales Police,South Wales Police,-3.200411,51.522073,On or near Tasker Square,W01001949,Cardiff 005F,Unable to prosecute suspect
3fd9c374b5186df7b8e3f5fd83e9b8cd9580a72b3fce44466c2956b4d6120043,2025-02,South Wales Police,South Wales Police,-3.204250,51.541914,On or near Woodruff Way,W01001795,Cardiff 002B,Unable to prosecute suspect
3602945ba41fdbc128cbf6eefa056f8c0d1fd4de9af1a8f6ca4aa79058056afb,2025-02,South Wales Police,South Wales Police,-3.971450,51.614754,On or near Alexandra Terrace,W01000874,Swansea 024F,Unable to prosecute suspect
b2a5af8f8e2c2547b3f87c0bd2ffce0c9a7a5359e83e0d7cfc1d667c38ca811d,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ffcae0ead5ac5c73e46af8d14cca95e46d6357ffbac2ecd2f01d35d6ac16cc04,2025-02,South Wales Police,South Wales Police,-3.604144,51.514934,On or near Heol-Ty-Maen,W01001010,Bridgend 012B,Unable to prosecute suspect
576b464b4a8631bae87a988707fb5efc7e24b1856ad61ccd45870a60646cb638,2025-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
c8e5d4762e48671c5dbe12fa26b5f9158847e47b4406bc6c9af13640cdef4ca4,2025-02,South Wales Police,South Wales Police,-3.940846,51.661881,On or near Maytree Close,W01000817,Swansea 009A,Unable to prosecute suspect
7f2bdbbcca57a9c71a7ce65c02572e6e6f192ee002b80a795d2df70671240586,2025-02,South Wales Police,South Wales Police,-3.258620,51.473643,On or near Gwent Road,W01001744,Cardiff 043C,Unable to prosecute suspect
