Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c62a0aa3d9ce55b1596b5add56ae965f208029e2ea83851bbec9c9539b7b1521,2025-03,Humberside Police,Humberside Police,-0.025190,53.548929,On or near Minshull Road,E01013152,North East Lincolnshire 024F,Unable to prosecute suspect
323a30448512a19c662349e7b74550d8fedb524b9f30376812612d66996bd1d4,2025-03,Humberside Police,Humberside Police,-0.487680,53.819177,On or near Lawson Close,E01012921,East Riding of Yorkshire 020B,Unable to prosecute suspect
e8832eca01cb91b385e5088f6b5174c42a26dd6c5e7c368e430a9c250a240825,2025-03,Humberside Police,Humberside Police,-0.440787,54.005103,On or near Parking Area,E01012982,East Riding of Yorkshire 045D,Unable to prosecute suspect
39ad706aa02822ef75862177403caf91de74d8d7a7e0fea964dc0738ff5e670a,2025-03,Humberside Police,Humberside Police,-0.401402,53.754308,On or near County Road South,E01012775,Kingston upon Hull 028D,Unable to prosecute suspect
903f63b4e21e8a87116e4a955a18cb95038dc96515976f3a8117881a389614e3,2025-03,Humberside Police,Humberside Police,-0.666061,53.866685,On or near Moore Close,E01013124,East Riding of Yorkshire 015D,Local resolution
025262540eed1647c48185dd4ff37abb33e0500f985bfa8a2b88fa9ba9418de8,2025-03,Humberside Police,Humberside Police,-0.420985,53.580582,On or near Parking Area,E01013269,North Lincolnshire 011C,Local resolution
1c84bc900c064012fb3bddc59850ddeb121d7f0ba76da724ba9878ce3915bc92,2025-03,Humberside Police,Humberside Police,-0.437805,54.004462,On or near Shopping Area,E01012982,East Riding of Yorkshire 045D,Investigation complete; no suspect identified
4f1b9b4ec74fe8bff4cb538d12a3ed286adae91b103caedc3201a36d51600a45,2025-03,Humberside Police,Humberside Police,-0.403727,53.743390,On or near Plantation Drive West,E01012770,Kingston upon Hull 028A,Unable to prosecute suspect
edde7b266179d53eeb3bdad96536be78351cbc116eece6b47627077ddb0725e7,2025-03,Humberside Police,Humberside Police,-0.398060,53.745274,On or near Arcon Drive,E01012777,Kingston upon Hull 028E,Local resolution
09d96d084f976f059275313c65a144f3badeca3502da3f57443ddd09b46bcac2,2025-03,Humberside Police,Humberside Police,-0.866241,53.746194,On or near Supermarket,E01013015,East Riding of Yorkshire 037C,Unable to prosecute suspect
3023cafb45ec31aa802b91c06b6a09fc8515f00adf8dd6350bec089278088f7b,2025-03,Humberside Police,Humberside Police,-0.095667,53.571827,On or near Beeson Street,E01013220,North East Lincolnshire 003C,Local resolution
9d66e1e6efa60dcc194c1b87a59af58a7e46ef50b69c1b1a03ed53b8504a4a80,2025-03,Humberside Police,Humberside Police,-0.378378,53.777523,On or near Westgarth Avenue,E01012917,Kingston upon Hull 008F,Local resolution
130a9b1e6ffbe776d9c87fecf53f098a3c3780b957dc82f0dd541e0578f422d5,2025-03,Humberside Police,Humberside Police,-0.370489,53.753927,On or near Roxburgh Street,E01012756,Kingston upon Hull 025A,Unable to prosecute suspect
ab9d68ac329afc61bb5955d350bf4b14f1468df3f6a355ec917d387e970d43c9,2025-03,Humberside Police,Humberside Police,-0.308624,53.754958,On or near Morrill Street,E01012805,Kingston upon Hull 026A,Unable to prosecute suspect
7ae095f556175bda5d12469519fde4edced7051cb70115fd4da31b362afebba2,2025-03,Humberside Police,Humberside Police,-0.650308,53.589267,On or near Shelford Street,E01013330,North Lincolnshire 008D,Unable to prosecute suspect
fa8e902cd520176f0c4d28650337ef15b15aa2a4790028462bb36246c94e72da,2025-03,Humberside Police,Humberside Police,-0.202969,53.611091,On or near Hadleigh Road,E01013174,North East Lincolnshire 001A,Unable to prosecute suspect
ae6cedc305cc56f5fe1bf505205195a7be5e39ec1e4d10ad1b7b884e1f1ec95d,2025-03,Humberside Police,Humberside Police,-0.671064,53.586443,On or near Burnham Road,E01013334,North Lincolnshire 009D,Unable to prosecute suspect
ce50ea2745fb18e00115e555112fb22b73bd510136320d87074df84f8c1ffaf8,2025-03,Humberside Police,Humberside Police,-0.208345,53.621212,On or near Petrol Station,E01013176,North East Lincolnshire 001C,Unable to prosecute suspect
cf37a88bd1239d0bc83efe1da2d20f5773a74deee751c5e0cd9264c1397f21f7,2025-03,Humberside Police,Humberside Police,-0.413661,53.742533,On or near Westwood Drive,E01032596,East Riding of Yorkshire 043F,Unable to prosecute suspect
fd3315184b5aa1d644102c62819ad1c4c0d3c0d16a345edf2770240449459849,2025-03,Humberside Police,Humberside Police,-0.130857,53.570782,On or near Eskdale Way,E01013144,North East Lincolnshire 004A,Unable to prosecute suspect
d8b351516ff1db0e3e29c507f05b522b04ac8774af2ae051aa4b9ef2b7796f30,2025-03,Humberside Police,Humberside Police,-0.335978,53.803909,On or near Lil Bilocca Way,E01012832,Kingston upon Hull 034E,Formal action is not in the public interest
76ee36b3c02a9fd1e49d7c6c98e6e7c595cd0538160b4b67696fd79dc5856889,2025-03,Humberside Police,Humberside Police,-1.033149,53.688737,On or near Eadon Place,E01013077,East Riding of Yorkshire 042D,Unable to prosecute suspect
a01c7ff23058d89352d6d07ad9a77d0f317c3bf8a214a50cd6f14ece4e47f4d7,2025-03,Humberside Police,Humberside Police,-0.365035,53.738140,On or near Boulevard,E01012889,Kingston upon Hull 030B,Unable to prosecute suspect
dd3e14ead18ad450bb836170416d4ae1e3a35fb7cb55280b713f6a8cbe941594,2025-03,Humberside Police,Humberside Police,-0.377491,53.773349,On or near Swanland Grove,E01012918,Kingston upon Hull 008G,Unable to prosecute suspect
cec2af3ae4b1f2a36843fb6f4950ece3ecb9f9511dafbf08ec4e988a114521a6,2025-03,Humberside Police,Humberside Police,-0.378120,53.735792,On or near Hunter Grove,E01035468,Kingston upon Hull 031I,Investigation complete; no suspect identified
075d20c67a22d4e573e0cc9448bb1f519109306e2bbac13b95ac66aeabade83f,2025-03,Humberside Police,Humberside Police,-1.531120,53.795048,On or near Cotton Street,E01033033,Leeds 075F,Action to be taken by another organisation
6808c7fb8abe16a84d5e3d6066409feb122f174d1e8420b32a65379997c0c781,2025-03,Humberside Police,Humberside Police,-0.088873,53.565057,On or near Parking Area,E01013221,North East Lincolnshire 003D,Unable to prosecute suspect
68a77e91e50a7726dcc5017c6718889311eaa689eec2013fbd1c917fb1872d64,2025-03,Humberside Police,Humberside Police,-0.259413,53.762784,On or near Waudby Way,E01012843,Kingston upon Hull 021B,Unable to prosecute suspect
9fe51a942325b56a57032eb9a4dc91f7627386263b9496e2c0dd9b4ea394c807,2025-03,Humberside Police,Humberside Police,-0.414668,53.735939,On or near Elgar Road,E01032595,Kingston upon Hull 033E,Investigation complete; no suspect identified
a950017b36e4c89d71ea8e841afe320dad23c078809403b1275675d22025506f,2025-03,Humberside Police,Humberside Police,-0.409954,53.784094,On or near Canongate,E01012960,East Riding of Yorkshire 025B,Unable to prosecute suspect
de9e856215ea2b569ebef44a41a469cea242eda4505c237b18ece1b193fec1bb,2025-03,Humberside Police,Humberside Police,-0.637082,53.556119,On or near Timberland,E01013262,North Lincolnshire 018D,Investigation complete; no suspect identified
3c9f817f0c435c17423d060cf46664536cfbb076edc92acb31b241496a99ede5,2025-03,Humberside Police,Humberside Police,-0.344073,53.744127,On or near Paragon Square,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
4ffbda8b6fd80cce35d3a3e6694b682cd1c8c1afa1a0c248ec3180701e01fb6e,2025-03,Humberside Police,Humberside Police,-0.392898,53.861370,On or near Weel Road,E01012924,East Riding of Yorkshire 014A,Unable to prosecute suspect
cc5e351c5d8fba1c7322063505ea9a72a2065c4d283846b9e2e2ebdb2b524afa,2025-03,Humberside Police,Humberside Police,-0.324562,53.766104,On or near Lorraine Street,E01012817,Kingston upon Hull 016D,Investigation complete; no suspect identified
647984361c5d31a179019677e89eec7eb8743482dc11ee2f6494e45a6a77a570,2025-03,Humberside Police,Humberside Police,-0.385872,53.761767,On or near Langdale Avenue,E01012795,Kingston upon Hull 019B,Investigation complete; no suspect identified
b960c996045d45f735ffeb1f9d753b3deef7f9a4c7b505e35f25246c9d989efd,2025-03,Humberside Police,Humberside Police,-0.634656,53.577080,On or near East Common Lane,E01013311,North Lincolnshire 015C,Local resolution
28f0a6ed3c7af97bcfd0d7bf5b8bee04b48743ef8790072bce5f37508bd7a959,2025-03,Humberside Police,Humberside Police,-0.055562,53.562408,On or near Dugard Road,E01013197,North East Lincolnshire 012E,Investigation complete; no suspect identified
164d0ec00839ae92d4ac2e55b2bbffd79368d562f0252843e27db81db6d7ca08,2025-03,Humberside Police,Humberside Police,-0.330527,53.785936,On or near Coleford Grove,E01012789,Kingston upon Hull 002F,Investigation complete; no suspect identified
31582ea5bb045925cbbdf1bcfe95e27cc8f629c153feb4338f079b536126ab41,2025-03,Humberside Police,Humberside Police,-0.357548,53.759054,On or near Avenues Court,E01012763,Kingston upon Hull 018C,Investigation complete; no suspect identified
bf34fb85b7e1c0dbaed84e8c2826c9517ab3c618a71f7e46c1aae68b664b1b94,2025-03,Humberside Police,Humberside Police,-0.278988,53.748945,On or near Delhi Street,E01012848,Kingston upon Hull 020B,Unable to prosecute suspect
af603cf9d22cc07e3827838f077f83c915f9cf2c3726f56f8d51a58aba36a766,2025-03,Humberside Police,Humberside Police,-0.189499,54.088746,On or near Trinity Grove,E01012952,East Riding of Yorkshire 004D,Unable to prosecute suspect
a9e2a99ab99126266edcf14a002f6eeba3361b02c92e57a24fe33acabb6a6d30,2025-03,Humberside Police,Humberside Police,-0.643206,53.590239,On or near Manley Street,E01013330,North Lincolnshire 008D,Suspect charged
f913921601c6c48715954d86c1027034cabd94ebadc237ba36ceb1f6e5731e74,2025-03,Humberside Police,Humberside Police,-0.375818,53.738853,On or near Sandlemere Close,E01035467,Kingston upon Hull 031H,Suspect charged
d37f370f3161f0e244be460609ccd42957a9d60c4dc25851fe10cbbd16dc54ed,2025-03,Humberside Police,Humberside Police,-0.072136,53.569176,On or near Bodiam Way,E01035473,North East Lincolnshire 002E,Suspect charged
8b6cf57799fca6127c7f3045240f2aab8a53b159598298162d75d1669ae620a5,2025-03,Humberside Police,Humberside Police,-0.276416,53.768423,On or near The Orchard,E01012825,Kingston upon Hull 010B,Suspect charged
0faacda4c30789601b40b142d702a075990e8e1b7326b2a9ceab3af52f56f998,2025-03,Humberside Police,Humberside Police,-0.062945,53.563741,On or near Cooper Road,E01013143,North East Lincolnshire 006D,Suspect charged
6bb06731ef0263faf34eb39e367e5a6ae2099a3214eb5d3ec7891df37ecf2347,2025-03,Humberside Police,Humberside Police,-0.317761,53.759752,On or near Chestnut Grove,E01012804,Kingston upon Hull 016A,Unable to prosecute suspect
44aee9800d057d8c00ba5ca728b5a4b35555ab676d02d6dae668aaab53731cf6,2025-03,Humberside Police,Humberside Police,-0.307560,53.753514,On or near New Bridge Road,E01012900,Kingston upon Hull 022C,Investigation complete; no suspect identified
08e92ed7e3119e027210a15970964ed60f805db63d5c9d4033f7166dc657d642,2025-03,Humberside Police,Humberside Police,-0.374924,53.757700,On or near Park Avenue West,E01012756,Kingston upon Hull 025A,Unable to prosecute suspect
59ac14886a0a0c560967ea21c404d5abd8b469a70167c547d6a22ac2df468d18,2025-03,Humberside Police,Humberside Police,-0.345710,53.743394,On or near Theatre/Concert Hall,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
df9c7741ed396f9eb3abd51f4043af5b3e5b805fa8e29384deb935727bbde6ed,2025-03,Humberside Police,Humberside Police,-0.218065,53.619838,On or near Atwood Close,E01013176,North East Lincolnshire 001C,Investigation complete; no suspect identified
ecb73e784f501d42e58982ba98f87ed65032e9dfb22e98abb2657902e3fa5e92,2025-03,Humberside Police,Humberside Police,-0.304555,53.754676,On or near Rensburg Street,E01012903,Kingston upon Hull 022E,Investigation complete; no suspect identified
6a070da79560ad811a512e91296b7c4e4ad88fddc371fbea6a0a42f392e9630e,2025-03,Humberside Police,Humberside Police,-0.365686,53.761997,On or near Reynoldson Court,E01012866,Kingston upon Hull 018D,Unable to prosecute suspect
