Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
485068a9cc0dbcef7c751162d352ce61cca488507f9d60ebdb7aee02b3c16920,2025-05,Dorset Police,Dorset Police,-1.885269,50.850996,On or near Juniper Close,E01020411,Dorset 012A,Suspect charged
da05ade2fb2734c3990e96c0caa2ee11de6f3e3c5fbdd4af35611677d1de43e8,2025-05,Dorset Police,Dorset Police,-2.450066,50.563413,On or near A354,E01033200,Dorset 047C,Suspect charged
2974a890fc1d7c669848f83f07d4d0b143411e9080259b6fd2007d91b0a95437,2025-05,Dorset Police,Dorset Police,-1.879356,50.879855,On or near Manor Court,E01020414,Dorset 012D,Unable to prosecute suspect
19d5c69cc37e5de0e1cde75e555419c09bf7ac7fdf419932cfd37da2d863f678,2025-05,Dorset Police,Dorset Police,-2.441312,50.555866,On or near Yeates Road,E01020564,Dorset 048B,Unable to prosecute suspect
e89b3a48025b4daa94877b64dcf21084f549634ba7f2b89035815f59077a9756,2025-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
de9d5f6ab6bee3f36dd56f50f6c9aec264c99f28532503a980f4f5c90b7dc584,2025-05,Dorset Police,Dorset Police,-1.842283,50.754123,On or near Shopping Area,E01015339,"Bournemouth, Christchurch and Poole 012B",Investigation complete; no suspect identified
c027f9354da1685912ec1721aab928e2896bc506e2345c6e2f9f75d75a37a202,2025-05,Dorset Police,Dorset Police,-1.812325,50.730293,On or near Paisley Road,E01015363,"Bournemouth, Christchurch and Poole 026E",Investigation complete; no suspect identified
02148d76d3a201ed76be2e90500593544749111c7c540b5017beb0f3f1e7204d,2025-05,Dorset Police,Dorset Police,-1.913642,50.724845,On or near Supermarket,E01015402,"Bournemouth, Christchurch and Poole 048A",Investigation complete; no suspect identified
51b2affba1822313bf0e08d7bd0d585f23d52173d5d6083c38d1b1af0d44213a,2025-05,Dorset Police,Dorset Police,-1.803493,50.728075,On or near Carbery Avenue,E01015364,"Bournemouth, Christchurch and Poole 036C",Investigation complete; no suspect identified
99a73bc2aec9be9f1edd600ceae9944d3d72fa1e59ae9714dc037848ff3df04c,2025-05,Dorset Police,Dorset Police,-2.469678,50.637356,On or near Petrol Station,E01020579,Dorset 041D,Investigation complete; no suspect identified
1a58f7ab68c254f52269e3cff026556dfb0cdbbd411a560bbb3e7d1242ef595e,2025-05,Dorset Police,Dorset Police,-1.831240,50.777641,On or near Parking Area,E01020365,"Bournemouth, Christchurch and Poole 002D",Investigation complete; no suspect identified
5fb0cd67cce95d63ab180ff95d4b41a8136bff37e5d0d675f83721c54db8e5d3,2025-05,Dorset Police,Dorset Police,-1.901072,50.712992,On or near Earle Road,E01015370,"Bournemouth, Christchurch and Poole 045D",Investigation complete; no suspect identified
727c275fdb2a734f46b52a780857c719f0393fca5198f65dadc8fc64c45bc79d,2025-05,Dorset Police,Dorset Police,-2.254435,50.894981,On or near Lanchards Lane,E01020444,Dorset 006A,Investigation complete; no suspect identified
a2dedd9aa13e9e3dd00fcc7bfa233e98412e00e5420c72319cc0d41791e95415,2025-05,Dorset Police,Dorset Police,-1.916198,50.705225,On or near Parking Area,E01015404,"Bournemouth, Christchurch and Poole 048C",Investigation complete; no suspect identified
00c7e91fb678045d47a482f99ef1989c63e79102e82189a1ad5a8bff6260c86e,2025-05,Dorset Police,Dorset Police,-1.949919,50.729084,On or near Mount Road,E01015457,"Bournemouth, Christchurch and Poole 030E",Investigation complete; no suspect identified
327690a8159ca7a44ab5055be8abf5455b09896a06be772c874eea69cd81cb62,2025-05,Dorset Police,Dorset Police,-1.843965,50.747012,On or near Normanhurst Avenue,E01015339,"Bournemouth, Christchurch and Poole 012B",Investigation complete; no suspect identified
d2f037dabe5bf4a837eb244078e15581b76682e9d8330a8366f3568c2c5cbb94,2025-05,Dorset Police,Dorset Police,-2.424632,50.705497,On or near Chester Close,E01020520,Dorset 034C,Investigation complete; no suspect identified
0520709703af92852624855fcc8ddda995e9de27deed1b48fd156039c311cf0b,2025-05,Dorset Police,Dorset Police,-1.936498,50.721119,On or near Alipore Close,E01015464,"Bournemouth, Christchurch and Poole 043F",Investigation complete; no suspect identified
67563d9a6566b0d883cc4cbfe9dc254e5445186ce174fb5cc161f20ebecf25c5,2025-05,Dorset Police,Dorset Police,-1.902871,50.808837,On or near Coppice Avenue,E01020375,Dorset 020A,Investigation complete; no suspect identified
843fd1eca1d8ed7c15b751824a99f0ea14c9a836af7a54e31a66a1b7b1c1c36c,2025-05,Dorset Police,Dorset Police,-1.910184,50.710607,On or near Dalkeith Road,E01015405,"Bournemouth, Christchurch and Poole 048D",Investigation complete; no suspect identified
9718c39cdac077ea5ced8cf265a8097d5541b6b5f18f391e317d0ca80f5db2e7,2025-05,Dorset Police,Dorset Police,-1.739741,50.732366,On or near Bure Haven Drive,E01020355,"Bournemouth, Christchurch and Poole 033B",Investigation complete; no suspect identified
f12a4cc0d6834f07ec396bc7812206ec6e41855fd79d1a453de62c6db483032e,2025-05,Dorset Police,Dorset Police,-2.443984,50.701783,On or near Supermarket,E01020524,Dorset 034E,Investigation complete; no suspect identified
