Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e39cc1fd60bd4616924e1b1f529d1cbc89159ef7feb65f02870128e787f9a051,2025-05,Leicestershire Police,Leicestershire Police,-0.786704,52.894412,On or near Parking Area,E01025887,Melton 001C,Suspect charged
f40d70825889f1dd69ad6288c9b35683381a7f705266a336c7d4120372dd772d,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
5939b16d30d3f1f0de95a1a7f9316911b10a0c032992f054e6125546a842153f,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
e9c71a5c2746ce5517c9c7f927dfcac1296340a1071185ba671bf352bec548bd,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Further action is not in the public interest
c157d85d2e85296ceb4309e19ec7522b9410896eabc4bb3891d7ecc6ed9182da,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
d0dea21a5f3debbdbcf291d024e57961b47466df99211207fe23c0019d3ddc39,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
6dc1a00b1ca8a166668f7ec748dc7a7b2c1f110f1c75eab5c0a3a0b7c89c6a9a,2025-05,Leicestershire Police,Leicestershire Police,-1.142394,52.628717,On or near Mill Lane,E01013648,Leicester 040C,Investigation complete; no suspect identified
22daee4ffb7eaa67dd9b8f9494343cc14cdf1ebd53818afd44f7fd3549f99917,2025-05,Leicestershire Police,Leicestershire Police,-1.142394,52.628717,On or near Mill Lane,E01013648,Leicester 040C,Suspect charged
e35b1c99f3db80e702c093b1edd335bb8b46e3150c70f02beeac6b1655f5b48e,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
fa01e34a1bb0429d0496dda1c071dc073e5426072283af3698ca49bb67e0b2f4,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
2195310746bbeee0e2c9a8dd4b217471208bc6cf70a95083d5d269b896e8cf24,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
d942fd298db2b898cc9d48cc4caa557247934b793b05a816db87662a149d021c,2025-05,Leicestershire Police,Leicestershire Police,-0.960971,52.496017,On or near Prison,E01025789,Harborough 007A,Action to be taken by another organisation
418b6c3a7d5b305630dfb453eb8adb028e671672382928a97d68aee58383cb04,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
10f6e37bf689f2ef632c89c27908953dab0a24c0220fcfb93b25367a973bdf3b,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
bdd32c6795e6996504ea07313e05688231cc4685532bd030346a88d132186377,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
38202d6fa6337c3d11c85609b67c988c2cbb6df94eb0786f4c832267fa84bf8b,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
30f41d35a38a36f7d82161d02567706db9f781f450c5d8d624d244aae8778a6f,2025-05,Leicestershire Police,Leicestershire Police,-1.147643,52.663474,On or near Hefford Gardens,E01013604,Leicester 003E,Suspect charged
39403122e52c3a74929984087a86c39ca59d5e01791c30e965a03c1738b41552,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
d63b9158392d7b96e1ad819033dece07a27a1ab4846445e0309d1cd4b662e20d,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a836e1d1cd75fba51a201c7466f4e4970b34c7def382ec322c91cdb7f5d07f6d,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
08a112172d5a283f8dfdd65c187b7dd219810d1e6bb17831e505f0fc81038b6f,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
70058968039b0b764004a9e66cdd1beacd64b9d57ecc51fa70d3e85ca3082f4a,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a6edf2efd7b8c0b831ad1da0ee2a346a649bd0ca535556f2b3e7a77351be7f28,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
fa35bf46bbe9c01c661a7981a8fcf97eb9e083aab1906c8daf173a413fa85c9d,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
2b5f81d310f0b5ae4b6664cdec1731bd0d3a7e3516e5925e6d4a67496c44dd74,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
6df0d82dcd50b9bbefea2eb62fc9d24fef834a473c0fec2e84dc03059fe93cdd,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a888108d7f65fb89672feaceab7a8f5ee0725babcbff37a4951ade615afc24a9,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
c4298001590b0c0722d42aa24a02441c32256ffa596b52d8a8fbcc028fa418ee,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
fd9f1243c011959e66c4ed48fef1f4417bddb38f1a86fd962983372e76f58dd7,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
89bbd6ae252b2b60f8659aadb1ed8244271f059524e51c5c422ad8ec565ca1e6,2025-05,Leicestershire Police,Leicestershire Police,-1.133154,52.631985,On or near Welford Place,E01032868,Leicester 041B,Local resolution
bc26378d06431b599e737985ebf97dfb45bce7f1cf76922097fa7e1db2386dbf,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
fc872ec6721cb8ce2b1d0f0ccb285aff916fd0806871e5dfd588d67bfb48b567,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
c34bdee17439e8d4f20d1065ef94c9e677f17f23110dbf6af5753e865ce40fef,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
3a0ab5002f6f6198bf5a1352df3f70f5d83373537f31651bd420eaca61bad80f,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
c669c10688c719fe2953432fd61ef9b6d8a549c471bce6cc25db4ed19decd705,2025-05,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
