Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58956c26dc7bc85ddb4328b38a9006a1720e946932e0aa796d3e47b2205a769f,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
87e75b465a56cadeea3851e460530e97ecbbc402e501d262255795364ce9f444,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
87e75b465a56cadeea3851e460530e97ecbbc402e501d262255795364ce9f444,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
d57171a4b067921372451cdcc4e493c52dd082d6fcb3b93a31a94ba17affc419,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
28035164c476e6cefee89d3501d0f1ec0bc0f1fd70b372487212c1067338a68e,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.715659,52.579941,On or near Lime Way,E01026604,Great Yarmouth 009D,Suspect charged
efc7564352030b31c93ce12c002ce0bac69a0b164d26aea1a3cb286f5cbefba4,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.729566,52.540466,On or near St Vincent Walk,E01026588,Great Yarmouth 013D,Unable to prosecute suspect
d2ff4c7bc6fc10221a995ab7888953f7fe5759aa5c4d9ece12456dd5b8ea3c44,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.301653,52.629460,On or near Nightclub,E01033438,Norwich 014A,Unable to prosecute suspect
2cb2b8680049e2e826f652267300ef99c10f3e6573d531fc45a9db5019a6b664,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.385122,52.675903,On or near Bure Close,E01026722,King's Lynn and West Norfolk 015C,Suspect charged
70b2cdba3bd606667cc1de940ac735e13358f0e21f020d60c24a46db7a5f2ae1,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.370829,52.641328,On or near Pym Close,E01026576,Broadland 016C,Local resolution
34ffd85c3108020c7d066732e8571edee825e9e9e7fbc94f6a0cf36b7b430b13,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.885358,52.920172,On or near High Street,E01026782,North Norfolk 009B,Investigation complete; no suspect identified
6883cf8cc8eb3a1f7d021cc3038b3a0935e086447828bb1a4cc43b43e9a75838,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.729682,52.539743,On or near St Andrew Close,E01026588,Great Yarmouth 013D,Investigation complete; no suspect identified
f9b0f00a66a6508784ca07165b959f023b1056d1943bf3a3deaa944abd7ba5e0,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.316210,52.648105,On or near Petrol Station,E01026802,Norwich 001F,Suspect charged as part of another case
f3e38642d7e33b4fdda6fd139288212ed19c32fc8718443fb457e3ae919cbb0a,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
69aca0f6583cc6354f4c8baa39683b808569e9bfed93b4d0a2ce5c3eb36da99c,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
785587e3600034284874a65f213eee21700031cb3d07ff46f9754d6c2162a94e,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
eb76926cb500d3454dba68a763d8c60944270228839ab992ca9b0bd0e06f68ad,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
d18784b1ca006e69970bd976f44b1869296b1a4253f8aca60877034bbfa9fe42,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
8b5b88e701b7f1d1dd035494a99f3f83ab3840ae81c03877616be43e799591f2,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
7fc633cdb3f6a02d21496c05d3ab73c893a2f9323eac91929f90c524c59875c0,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a9797817f0f1ce8626b8d9c5c95b05e7ac7a9a989bfea8a28276401ce224c3f5,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
0b8c341b1d1dad9122d583e816330b11adca007d226a39a8e0b737e36194f7fd,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.287928,52.654479,On or near Harmer Road,E01026798,Norwich 001B,Local resolution
621a22a1abca840240937eb4e2ed198c015526e1812eeba96fcd8d99ad395232,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Local resolution
d5732270affcf4189723e2c02033e3de481266c9e6ac1953d78f867e5959fdd2,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
628e9f486ec1a778a9f51b13daae527df9ba38b2b873264301c86940e6fe8ede,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
dd7fbcf28e6d410ead9e06659a0710632291241f87fc17cd50d30bfd4503c958,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
1f0a72e5a6305f6fd7d1d0cef43df48290b14b596d8c7915e47905ea4a3f2160,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
22386af19ec6a1f6a53bdd04c90422f69ba32ee5c25037d9595d37dd203d9f7c,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
c4239693cc6df8e796a5e289ffa9ec522b3f9521fc403c090996bfc93d47523f,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Local resolution
98b375cdd1cc6733a2703cf4af81f8292b40bb97f556afb76d4fefbbe9b2a4be,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.231980,52.634031,On or near Jordan Close,E01033436,Norwich 005H,Action to be taken by another organisation
871a3c9ddd96121247a329064cc986aeafbdcc61057f1cea1c81f4589871ef38,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9d06c1c20156cbcf4c48e05e1ff165dabe0f35ff2852e28fbbfcf98d86c12f07,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.253905,52.621729,On or near North Park Avenue,E01026810,Norwich 012A,Suspect charged
b1ea621692825dd5fb9c312743ba0bf103e2beecbf5be756970ad15eaf1ea1c8,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
1f380a11e36569b12bf2f44141519f1194c8cb2acb47c3de0066553c3f2b0596,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
8fcd048e827cbdc2b52017ae407d5cbcf9c34a97a80d897fbdac6c6cac0f8058,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
3260ecc7ec0bed68e8b0c07cee0a73765ff71895a9c859fd468d38dfc5b4e963,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2ff85fde6b731be242a11dec4d554a904173fbb91827a8ddf6f48707e69f54ba,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e57ce0d801318cc051753a2857d5fb0032f2a044992da29cbc37a49ebf63d1a7,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b26f6524ac72bf0a033c3cfea0c8c34390daf266d2794444d4e778e58b9094f7,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.007521,52.514798,On or near The Coppice,E01026450,Breckland 011E,Unable to prosecute suspect
4fda81c5dc04e167c88ddfb6c2182548c9ac9d563fd4ba5164139c368f1d21cf,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
cba2c8d96eb7afcbb1fc2f91ad517ea1e4a00ed67cb328034394b709a1f010b3,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
0c33dfee30ea23bd6f7c11e26f0d0b82b1b3826d18bafc3ce6fab3c14f7edc00,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
0c33dfee30ea23bd6f7c11e26f0d0b82b1b3826d18bafc3ce6fab3c14f7edc00,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
ab8df59fbbe807d8b1f5a90e2f75b384ed85df99f3756bd1dc4a6ee1f01cb5e8,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
f41557eb610989f186c9f053d329e5e9bfafaf6550559496f84c325fbb335a01,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.852816,52.834110,On or near Lancaster Avenue,E01026747,North Norfolk 011C,Local resolution
7dc66ce28b45c3afa6ed4e657e9877430cb6f2a2ddb6c48181d309130ed1a459,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.293319,52.621943,On or near Petrol Station,E01026853,Norwich 011B,Suspect charged
7dc66ce28b45c3afa6ed4e657e9877430cb6f2a2ddb6c48181d309130ed1a459,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.293319,52.621943,On or near Petrol Station,E01026853,Norwich 011B,Suspect charged
ba23ff8a7194fc400d30990b1383b0bb8aecf1839a2d560a2acb4b911e383e17,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.286605,52.655973,On or near Beech Drive,E01026798,Norwich 001B,Formal action is not in the public interest
c7eb2ae5c0de16a46377aa9ba4983f65190c22f31711492ddc4a4366d7d9d36d,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.379531,52.601051,On or near Court Gardens,E01033039,King's Lynn and West Norfolk 017H,Investigation complete; no suspect identified
f7778d2ceb385ba438daed98422e29d59f1603675cd43f91c4737e0bee3e595d,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.394469,52.754796,On or near Purfleet,E01034768,King's Lynn and West Norfolk 011G,Offender given a caution
e7f58c31459482189211b8745217d1a8bdc57bd2612684cfda18d74bcfeacbed,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.733633,52.600117,On or near Dagmar Mews,E01026626,Great Yarmouth 006E,Unable to prosecute suspect
bfeba2baf4bfbf1246017e96491797e740c28c08a5e9db32bbf584c44bbac0de,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.732318,52.417891,On or near Coventry Way,E01026467,Breckland 015C,Unable to prosecute suspect
ca36d7bf47e43c5d0be7225f791d3953ba2a460c28e082f6c4661a0762bc7d76,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.726898,52.406091,On or near Stapleford Way,E01026478,Breckland 017E,Unable to prosecute suspect
d4e1b643c6f57974732de816b4a0dec4bafa555e8ee74d9d545c020e961a87af,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.279645,52.635508,On or near Devonshire Street,E01026827,Norwich 016C,Unable to prosecute suspect
32206ab0cf0892c974696dbdc90311f70c296a43961c26b2c34373848fc03c73,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.304157,52.643784,On or near Violet Road,E01026844,Norwich 003D,Unable to prosecute suspect
eedfa0df7a8b8ece470c45b3d5c433b7f4eed8e0a0c277c828d56aebf2d5eefe,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.221532,52.853897,On or near Regent Street,E01026737,North Norfolk 006D,Further action is not in the public interest
584821a0d24f75050244ebbbf8703e213ae48e5182c3f75f922e5e184a720c72,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.313210,52.631524,On or near Albert Place,E01026850,Norwich 015C,Action to be taken by another organisation
584821a0d24f75050244ebbbf8703e213ae48e5182c3f75f922e5e184a720c72,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.313210,52.631524,On or near Albert Place,E01026850,Norwich 015C,Action to be taken by another organisation
a51c1447c9f108de4c92d41d359fcf2d8706b2c11af66943f0225a499907e726,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.239378,52.697286,On or near Thistledown Road,E01026537,Broadland 004E,Suspect charged
b0ca58b68ce511827eb698dde3c4e9d017a7f3ddfbed10a4468b8d99339e8f58,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.310495,52.628254,On or near Ella Road,E01035137,Norwich 014E,Suspect charged
9119e5657b913120637fe497e6f1f7bfc91a87444940a44b4a68c0df065d8401,2025-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
93f11c282bd797d5b4884dac1623d27a68bb193ba70ce5ccde0b56ad93935e55,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.040130,52.453773,On or near Gaymer Close,E01026435,Breckland 013B,Unable to prosecute suspect
808bc142b10db1dadec8c3f7f9a4196ad30b18f1ddd0c51d790ae8854389bc02,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.065167,52.390146,On or near Samson's Lane,E01026873,South Norfolk 014A,Suspect charged
ab2a5a8058ccc3598fc751b42fdf0834fbf57f5d7b90244ed757febfb2fe07ce,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.176518,52.457839,On or near Meadow Close,E01026886,South Norfolk 014C,Unable to prosecute suspect
133c4f7782cbcc6a0415bf4123920173ea55ff8244db9207a8e2d37ae1e19516,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.279662,52.652926,On or near Supermarket,E01026797,Norwich 001A,Suspect charged
68fdae756b7ac8767e2c9fbdacf9a6fd3a50bd18ab525fefeafd27ec66942960,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.292367,52.626970,On or near William Booth Street,E01035139,Norwich 017B,Suspect charged as part of another case
6ccde7ab1c59f1d82fee96937e9aeb068143eb01a9b9cb8cdad2d7d8d8c0aab4,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.206126,52.941476,On or near Marriotts Way,E01026770,North Norfolk 001A,Unable to prosecute suspect
754c7e5767f11cfa89cec24babedef74fd567692f72caef0e85fac9a96b73b5b,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.253038,52.795048,On or near Blofields Loke,E01026503,Broadland 001E,Further action is not in the public interest
754c7e5767f11cfa89cec24babedef74fd567692f72caef0e85fac9a96b73b5b,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.253038,52.795048,On or near Blofields Loke,E01026503,Broadland 001E,Further action is not in the public interest
a989704a36e757aa79d8b68b8d526209d9f1bf922fb99138ca2d6f6f078c2205,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.253038,52.795048,On or near Blofields Loke,E01026503,Broadland 001E,Further action is not in the public interest
a989704a36e757aa79d8b68b8d526209d9f1bf922fb99138ca2d6f6f078c2205,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.253038,52.795048,On or near Blofields Loke,E01026503,Broadland 001E,Further action is not in the public interest
583675091482d7149d9be38fcaad55488e19389690f6831fdb64faef22b4ee75,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.276956,52.652733,On or near Chambers Road,E01026832,Norwich 002E,Suspect charged
ba62d3efadb1fce496a7a4cb62a4a813feefd193e0ef9efa836988b008dbd5ec,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.211895,52.597099,On or near New Bridge Road,E01026715,King's Lynn and West Norfolk 016D,Suspect charged
139ccac341c8e1f7aafe033af28c28caf9e6a215f0dea03b1cb6dd55a7b64658,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.907157,52.711714,On or near Swan Drive,E01026452,Breckland 004B,Suspect charged
19416d062f6e58463bbd5090d816375ed24c0c33757443973ecaf0f5012f4c98,2025-05,Norfolk Constabulary,Norfolk Constabulary,0.948130,52.681871,On or near Malthouse Court,E01026429,Breckland 003B,Unable to prosecute suspect
af424b88131e20cc30f920075b4f0a32a108a646fa8cd5bbda2d9795aed53124,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.108184,52.660287,On or near Fellowes Road,E01026524,Broadland 002C,Offender given a caution
af424b88131e20cc30f920075b4f0a32a108a646fa8cd5bbda2d9795aed53124,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.108184,52.660287,On or near Fellowes Road,E01026524,Broadland 002C,Offender given a caution
b1458a1aceea7426ca453b000d2e5a2b49e91b43f435a043abf6d45543f8dc5c,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.237248,52.650911,On or near Red Bridge Lane,E01026918,South Norfolk 017B,Unable to prosecute suspect
b1458a1aceea7426ca453b000d2e5a2b49e91b43f435a043abf6d45543f8dc5c,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.237248,52.650911,On or near Red Bridge Lane,E01026918,South Norfolk 017B,Unable to prosecute suspect
d228216736ac7eba4631f7f2446d6d51aa6a80905562e32c9e4bf7f0fc2fe948,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.219568,52.678742,On or near Drayton Grove,E01026521,Broadland 007D,Suspect charged
d228216736ac7eba4631f7f2446d6d51aa6a80905562e32c9e4bf7f0fc2fe948,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.219568,52.678742,On or near Drayton Grove,E01026521,Broadland 007D,Suspect charged
3ddf9dec6f49df8845b644a32e8c5fb2315029c72915dd7281ce05daa77a51d2,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.305044,52.636528,On or near Anchor Close,E01026848,Norwich 015A,Suspect charged
82ee2fb944fa5622008a60f4708556fe190e496baf6530d34ae63e2afb0a9337,2025-05,Norfolk Constabulary,Norfolk Constabulary,1.273788,52.659799,On or near Heather Avenue,E01026530,Broadland 011A,Suspect charged
