Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-05-31T23:00:00+00:00,,,54.548800,-1.174574,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.548800,-1.174574,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.548800,-1.174574,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.575741,-1.232970,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.521143,-1.106954,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.558996,-1.314947,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-05-31T23:00:00+00:00,,,54.550853,-1.217126,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.574071,-1.322089,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.617158,-1.273120,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person search,2025-05-31T23:00:00+00:00,,,54.523812,-1.308784,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person search,2025-05-31T23:00:00+00:00,,,54.561562,-0.967306,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-05-31T23:00:00+00:00,,,54.577393,-1.307290,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-05-31T23:00:00+00:00,,,54.574382,-1.321496,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person search,2025-05-31T23:00:00+00:00,,,54.686591,-1.218178,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.560031,-1.231440,Male,over 34,,White,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.684484,-1.217598,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-06-01T23:00:00+00:00,,,54.684805,-1.218569,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person search,2025-06-01T23:00:00+00:00,,,54.527318,-1.070059,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.524686,-1.237326,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Community resolution,True,
Person search,2025-06-01T23:00:00+00:00,,,54.617418,-1.064770,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.688023,-1.217328,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,,,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.683726,-1.225430,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,
Person search,2025-06-01T23:00:00+00:00,,,54.684484,-1.217598,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-01T23:00:00+00:00,,,54.605835,-1.316760,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-06-02T23:00:00+00:00,,,54.610495,-1.317210,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Vehicle search,2025-06-02T23:00:00+00:00,,,54.550266,-1.250733,,,,,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,,False,
Person search,2025-06-02T23:00:00+00:00,,,54.580304,-1.236892,Male,over 34,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.536962,-0.960786,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.632854,-1.281407,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2025-06-02T23:00:00+00:00,,,54.632854,-1.281407,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.560029,-1.221296,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.575172,-1.242448,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.688898,-1.217870,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.687686,-1.217924,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person and Vehicle search,2025-06-02T23:00:00+00:00,,,54.687686,-1.217924,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-06-02T23:00:00+00:00,,,54.566205,-1.310449,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-06-02T23:00:00+00:00,,,54.558555,-1.324557,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2025-06-02T23:00:00+00:00,,,54.619775,-1.070911,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-06-02T23:00:00+00:00,,,54.566861,-1.255857,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.566861,-1.255857,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-06-02T23:00:00+00:00,,,54.566861,-1.255857,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2025-06-03T23:00:00+00:00,,,54.553691,-1.145083,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2025-06-03T23:00:00+00:00,,,54.697812,-1.213493,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-06-03T23:00:00+00:00,,,54.697812,-1.213493,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,,
Person and Vehicle search,2025-06-03T23:00:00+00:00,,,54.534004,-1.244277,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-06-03T23:00:00+00:00,,,54.534004,-1.244277,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-03T23:00:00+00:00,,,54.699948,-1.211590,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2025-06-03T23:00:00+00:00,,,54.580304,-1.236892,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person search,2025-06-03T23:00:00+00:00,,,54.675638,-1.224064,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2025-06-03T23:00:00+00:00,,,54.561221,-1.233444,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
