Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
24528a7bee1e14ececc6ce36da5be8bfbd2e7790bf883a883b99e8332831fbf0,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.148810,52.050698,On or near Burrell Road,E01033130,Ipswich 012G,Unable to prosecute suspect
69c11c21a684660106a1b216006117d5f14f3aa0eb1e9baf2a7149661350ab3f,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.098453,52.196375,On or near Pains Hill,E01030083,Mid Suffolk 007C,Unable to prosecute suspect
6c254ed7812ebcef6ece7fba23064f77b7fe7dba0f6c9eb318c5f3f7ee0a9bc1,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.026550,52.201984,On or near Trinity Walk,E01030081,Mid Suffolk 005D,Unable to prosecute suspect
f36b57c4411eba25868eae62949118e83cd63499fc42458d20acc1e93b85cb14,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.397354,52.241603,On or near Petrol Station,E01029949,West Suffolk 015B,Suspect charged as part of another case
f36b57c4411eba25868eae62949118e83cd63499fc42458d20acc1e93b85cb14,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.397354,52.241603,On or near Petrol Station,E01029949,West Suffolk 015B,Suspect charged as part of another case
ba21fdc49315ca63d42c0fc2f2844e8dbe10a75806e90b2942e097969eb34417,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.703185,52.463859,On or near Chichester Drive,E01030235,East Suffolk 007B,Investigation complete; no suspect identified
f117afe55e25bc960396224f6de1b0f6be2c61c221ec00449c57f1247ab53d5b,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.155180,52.048567,On or near Vaughan Street,E01029968,Ipswich 012A,Unable to prosecute suspect
8afcc56c6a2f6565adb1dcddf5d6f7c462afb1f676b167ff6849979db6916333,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.267724,52.064376,On or near Parkers Place,E01030191,East Suffolk 025C,Unable to prosecute suspect
daa19da156488ef9bcb655f0e0d551466635f88eff542e5022322a38b9d5e9ea,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.443628,52.450735,On or near Millers Close,E01030230,East Suffolk 013A,Investigation complete; no suspect identified
682fc54b3adaa2c040bd5eef405aa588e9f142162d32dbd74f4a507cf58a2e25,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.139596,52.064300,On or near Providence Lane,E01030022,Ipswich 006A,Further action is not in the public interest
3503c0bef9231d2ec9ab5dc5b100b83076f73514c654165181dee6ce5cd60b78,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.529953,52.389676,On or near Shopping Area,E01034564,West Suffolk 003E,Investigation complete; no suspect identified
6072c00470c63025a4b240babd8e0c0daeffdc9bd87e9be760a3d3f826069d5e,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.390693,52.254219,On or near Supermarket,E01029952,West Suffolk 015E,Suspect charged
56da52a2db03db183c4ac0bd24373e556f2dbad6fb5036446844588f63287a43,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.664853,52.340684,On or near Wangford Road,E01030283,East Suffolk 014A,Action to be taken by another organisation
66ac343664a47d56ff8521f1dd3aab87570c6bb243afa4d07fbfeddf8aa7ee85,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.019398,52.134716,On or near Fox Meadow,E01030041,Mid Suffolk 011A,Unable to prosecute suspect
c6e69f42f827db3d98f24dd6f38d7572fc10ccf7a2ec9a8b011673a2b3048474,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.173234,52.053433,On or near Supermarket,E01033123,Ipswich 011E,Investigation complete; no suspect identified
30f5b1f9a54bbe0811c9ac843e6d986361f5fcbb5f83a97f056df243e56f122e,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.755935,52.484671,On or near Petrol Station,E01030247,East Suffolk 006A,Investigation complete; no suspect identified
451c20861f4dfb45fcc2f575a05bc73643f60f8019d6c94accea97b4e8f84f93,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.726547,52.039109,On or near Gregory Street,E01029920,Babergh 007H,Action to be taken by another organisation
ea662ad6d584e9084c2b65f79e45010c5cc5323158e28eee98bb004793c04221,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.146278,52.060551,On or near Barrack Lane,E01030024,Ipswich 006C,Unable to prosecute suspect
31c450260b53b7c2929120a8fa975dee2bb56f9a0f2cfb4450e379212178d341,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.750269,52.034294,On or near Lindsey Avenue,E01029886,Babergh 008A,Local resolution
7b2daf9a37350337799ccb1e01542526cc80bf895ba79e2a1ccc7133bf93aaf7,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.699358,52.247751,On or near A1302,E01033047,West Suffolk 011F,Unable to prosecute suspect
2eed8b7f36dc93a7b60840b08ef1d723bf0959e4b80577c336d4844c4764e43a,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.941719,52.308533,On or near Wattisfield Road,E01030068,Mid Suffolk 002F,Unable to prosecute suspect
b362715aac696a0af3c4a5d82f7015151d0c12baca610dd2c1434a94f448a211,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.752087,52.474352,On or near Suffolk Road,E01030250,East Suffolk 004D,Further action is not in the public interest
3d4aefea9a39cfecc881642b6ab0dc65c9962419cda0dbbd30bfcbdb85e60f02,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.752087,52.474352,On or near Suffolk Road,E01030250,East Suffolk 004D,Further action is not in the public interest
385f8cc50eaad379a4d492fb38981380589779e96ecce7b11241a54405f7b9ee,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.148376,52.059677,On or near St Matthew's Street,E01030025,Ipswich 006D,Local resolution
5345fac53c387744615cd0df5ac38ee8d124b6410464cefc6d56317700e25c9b,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.716152,52.244694,On or near Angel Hill,E01030091,West Suffolk 011A,Investigation complete; no suspect identified
5345fac53c387744615cd0df5ac38ee8d124b6410464cefc6d56317700e25c9b,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.716152,52.244694,On or near Angel Hill,E01030091,West Suffolk 011A,Investigation complete; no suspect identified
10dddb1621721405e745b003f97a07b7b463b77e270ed6903ba53b574e01fff6,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.181209,52.227178,On or near Coopersfield,E01030048,Mid Suffolk 007A,Local resolution
9b1f4bbf4f5f045d49a72b06741cd0bcf9ab460fe0a3bb7f878dfc215933645f,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.130080,52.047168,On or near Sorrel Close,E01029986,Ipswich 010C,Unable to prosecute suspect
af669e3185f763c59086ca961b91c25f77959da0a61e4d2e9c48fa0d04ade94f,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.447135,52.084777,On or near Deben Road,E01030105,West Suffolk 020A,Unable to prosecute suspect
b4326a6ec828adef2e998148723babda8a647210cf569ac3f1751aab121f65ee,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.756110,52.482661,On or near High Street,E01030247,East Suffolk 006A,Suspect charged
b4326a6ec828adef2e998148723babda8a647210cf569ac3f1751aab121f65ee,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.756110,52.482661,On or near High Street,E01030247,East Suffolk 006A,Suspect charged
8d2aae30914f45bf29daddfb18f3ce8a30a24104a28b07ffaaa5f0e009e895d4,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.141592,52.059058,On or near Dillwyn Street West,E01029988,Ipswich 010E,Unable to prosecute suspect
75c2903674784efae7f3d2462b8929c6f53a13bbe61b84e89b52ce287c5eece8,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.099150,52.662422,On or near Berry's Lane,E01026481,Breckland 006C,Unable to prosecute suspect
5042541a7faa949ad77b2271e76bf910c4630141c6d5b5c28bf5b51fe84b53f8,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.668870,52.128831,On or near The Street,E01029881,Babergh 002A,Investigation complete; no suspect identified
def52deb6ec2a9f84bb25236f924a2bda23f49830ae2a0a23991d0b7c37a59e6,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.443815,52.084127,On or near Ingham Road,E01030108,West Suffolk 020D,Unable to prosecute suspect
14818503d19304dbc2e286527222294ef434c6615f7022e23a0f87cc2c72ef21,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.989968,52.197782,On or near Turnpike Court,E01030076,Mid Suffolk 010D,Suspect charged
14818503d19304dbc2e286527222294ef434c6615f7022e23a0f87cc2c72ef21,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.989968,52.197782,On or near Turnpike Court,E01030076,Mid Suffolk 010D,Suspect charged
ff537fbd442995099c35f7fc4cd0f62704367cb014741ed2dd5441ccb2d46f61,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.146505,52.057137,On or near Canham Street,E01029988,Ipswich 010E,Suspect charged
08ca4a71b2f4d3b1a0cf49ce31753ff1c615985eb798908259d0a454a79a8bf5,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.138259,52.064381,On or near Waterloo Road,E01030022,Ipswich 006A,Unable to prosecute suspect
79dbe01516b5095013a9b0dad8ab315cc76d328f9512c4166dc527897566c4b6,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.980064,52.204634,On or near Petrol Station,E01030056,Mid Suffolk 006B,Unable to prosecute suspect
16d61159a870d66e6fd67803b223a637cb122ef3c7c2f1fab19d1d3d0d149229,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.443965,52.080194,On or near Meeting Walk,E01030105,West Suffolk 020A,Suspect charged
16d61159a870d66e6fd67803b223a637cb122ef3c7c2f1fab19d1d3d0d149229,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.443965,52.080194,On or near Meeting Walk,E01030105,West Suffolk 020A,Suspect charged
386668214aae02aebaedef78c96f36463046b1bf192efa163bd8d9652d1ee68c,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.442608,52.092488,On or near Ann Suckling Road,E01030112,West Suffolk 019D,Unable to prosecute suspect
8805b71644545dd8598e06f9d7785053e880612d86b67da38891957ab5671902,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.781418,52.057125,On or near Fortress Fields,E01029922,Babergh 006C,Investigation complete; no suspect identified
60175742ce590dabc8bd217b1bffaa75e60dd40594d760a35d48ff4ad53118c1,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.411385,52.089057,On or near Brybank Road,E01030117,West Suffolk 021C,Unable to prosecute suspect
60175742ce590dabc8bd217b1bffaa75e60dd40594d760a35d48ff4ad53118c1,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.411385,52.089057,On or near Brybank Road,E01030117,West Suffolk 021C,Unable to prosecute suspect
897cde41d1dad04f1c6f2417e18efaa98e9fe981e5da34109e3791bbc4fbcb65,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.500581,52.338772,On or near Babington Drive,E01030244,East Suffolk 015C,Investigation complete; no suspect identified
8f8377ffbb9c9e2d17f8c5573060beed3f9d9538d6cf36817b457a1ab4bd9384,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.153448,52.060216,On or near Fitzroy Street,E01030025,Ipswich 006D,Unable to prosecute suspect
eeeac64a86b0def821484cab332f41ba20d345a807be8de6f8f3fdba9513eac7,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.714104,52.251945,On or near Tayfen Terrace,E01033046,West Suffolk 011E,Unable to prosecute suspect
2058a4291f872a7f12fed840034d4d59a4675b60703af20c219dda24ca76b376,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.411385,52.089057,On or near Brybank Road,E01030117,West Suffolk 021C,Unable to prosecute suspect
e376072a5d6817e19fb625b3242db4916e94ec401f5f7b0afa934b0a6c7d9f6d,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.900700,52.217458,On or near Heath Road,E01030089,Mid Suffolk 006E,Investigation complete; no suspect identified
13cc655491444041488074b2c15ea4be913eb755d5593c2687877f2e2cd4ae91,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.721804,52.454675,On or near Love Lane,E01030274,East Suffolk 009B,Unable to prosecute suspect
13cc655491444041488074b2c15ea4be913eb755d5593c2687877f2e2cd4ae91,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.721804,52.454675,On or near Love Lane,E01030274,East Suffolk 009B,Unable to prosecute suspect
9dcb4a7ba4d7083687b76a61fab75f2751fcaa1a8b386186499b93b4e003adb6,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.688819,52.451986,On or near Thornycroft Gardens,E01030237,East Suffolk 008C,Unable to prosecute suspect
9dcb4a7ba4d7083687b76a61fab75f2751fcaa1a8b386186499b93b4e003adb6,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.688819,52.451986,On or near Thornycroft Gardens,E01030237,East Suffolk 008C,Unable to prosecute suspect
93980138f1598ce8d8a34d5d184265922348b3802821710919f1e1b7125f462d,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.391173,52.254974,On or near Exning Road,E01029952,West Suffolk 015E,Unable to prosecute suspect
7da8db854bd5d507072fe8590400025397ac80e57382fa1c7b66be44cc5c19f2,2025-06,Suffolk Constabulary,Suffolk Constabulary,0.710847,52.244906,On or near Nightclub,E01030091,West Suffolk 011A,Unable to prosecute suspect
d52476ad8f43432fe2de4f644b391bf2c7104cacbb78aced09e193f4afaf4cc2,2025-06,Suffolk Constabulary,Suffolk Constabulary,1.754900,52.484022,On or near Jubilee Way,E01030247,East Suffolk 006A,Further action is not in the public interest
