Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
de691e56a7ebaa8dad12a03b05c3889431e62cb557ea58d0238c54d099a59c2b,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
bad7a312c71c803d0c8781519cb0e1a32d278211d3901a5df6c94c74d7a82442,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.348166,52.575766,On or near Benams Close,E01015627,Peterborough 018A,Unable to prosecute suspect
741f873822d342dc25165cc5081bc8c44867f07ee5d1a6ee4b27b59d0fc552ee,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
9510deea550b2e3b9cb0c139b66cb39298fbf03ab0b98c548b9444abd18f6471,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
cc1ee282af8ad2a56c4bbce2d4c0e2dd5fedd8cdd94be572a815717c17295ff8,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Local resolution
0b0310cb50f674651c3fc3333247b63362b77cf2556c64d2dc1d3b8f5bab38a4,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133453,52.203355,On or near Bradmore Street,E01017991,Cambridge 008E,Unable to prosecute suspect
d052d7c9e29531b4c24e7b7516c82dd1afd05abb026bd5860e0f425d702c8816,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
cdeb985614faf6ad673b71352be6579ce45eae68f103fcc196871bdf046031cf,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269211,52.589644,On or near Lutton Grove,E01015664,Peterborough 009E,Unable to prosecute suspect
ca96b80a152af80f8f9b9c9aa39b12ce10f5949c853cdc8fe50bc7f845a5721a,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.259197,52.247772,On or near Gordon Road,E01018154,Huntingdonshire 018C,Unable to prosecute suspect
5a95df6a7c6c9e2a3f0ce4e94f945a12fbbd16193bef234882750eda2fbad09d,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.082948,52.562636,On or near Silver Street,E01018083,Fenland 005C,Unable to prosecute suspect
b548234b96220b4a6a57c9497730eb261f465ff4c6a739ff88433c0202a4c779,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
5aadc005e8f69aebb0600eb297ba2c94de1ae0574a893aa2bd37eb1abc7a63a2,2025-07,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.146813,52.190560,On or near Ashbury Close,E01017965,Cambridge 010A,Investigation complete; no suspect identified
