Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
23ad5f55f07bced1cd9f29241c63677cab4d181e8683eec3a483b437370c3c80,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.462528,52.942486,On or near Supermarket,E01013530,Derby 004A,Suspect charged
689bc0b43c095fbabb7a643735b22d5c2409455a5591ec4e1b672abbbc473371,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.273496,52.896264,On or near Broad Street,E01019647,Erewash 012A,Suspect charged
9985c5440ea25e1d3b00328d80d2c68ce2c1c4cf419bffc2eb8c87f08b92a4aa,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.536744,52.918239,On or near Queensland Close,E01013564,Derby 015E,Unable to prosecute suspect
90e5f5c423b38dedb66a0e7912c312a02ac7218e6f066ca0c28a11efe697b55d,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.505102,52.918984,On or near Mayvale Grove,E01013455,Derby 017A,Suspect charged
b9f8625d86d182ee886d955d971eab2a55037cb62d4461cfad68a177e859cdb8,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.305143,52.967910,On or near Graham Street,E01019690,Erewash 003F,Offender given a caution
2ac161d2e5d362416b90c8a2d4d1b8f18d72c7b1e9c478eeae33a6846683a3c3,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.444779,52.878175,On or near Parking Area,E01013518,Derby 030C,Unable to prosecute suspect
d5c7c58fb1685b9f13d90f1d34a15243dfa8c5c3428235b8c5674f187fe6f01e,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.285421,52.886115,On or near Tamworth Road,E01019705,Erewash 015D,Local resolution
5c138cce11cfccf193d58f9b97f9a0ddee3b0face7d2dad0cb90296a43e5c5a7,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.420979,52.928088,On or near John F Kennedy Gardens,E01013508,Derby 012B,Unable to prosecute suspect
3bbff689eb61329fdb4db4222363031ef59b0a16ef1ad248d02db19d39a3e914,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.493291,52.920462,On or near College Mews,E01013453,Derby 013A,Unable to prosecute suspect
355b0e7669e5bc298ed3b858331994230b7e6e9054426cd13caeefef0a297815,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.484073,52.892564,On or near Baxter Square,E01013573,Derby 023D,Unable to prosecute suspect
8553bf85286b918c812172e898fdea1ffd5e896cd2cdad1dda9ec5bc635b87c0,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.497639,52.948285,On or near Allestree Lane,E01013464,Derby 001D,Investigation complete; no suspect identified
c9d8e8040ccb8cae2ea7651dfbc9e02c4951e76c6803a1e7de6b72b6c87e6e81,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.489407,52.897846,On or near Grange Avenue,E01013572,Derby 023C,Local resolution
46d4afab59e110f2b2f1459aed80e17e9d6fcd6fe086e97d0a68cc0fe1ed0f22,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.472450,52.924372,On or near Exeter Place,E01034256,Derby 013G,Investigation complete; no suspect identified
304a2405dc9242e37c7dba7e780037a09da3db8acebe6ca5ff01c9193de94357,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.296739,52.907677,On or near Buttermere Close,E01019650,Erewash 010C,Investigation complete; no suspect identified
9f41ea809ae18c64a8ff143aa619d6dd341a9a5e044f27f674610c43d66a0b3e,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.306944,52.991194,On or near Wallsend Close,E01019663,Erewash 001C,Investigation complete; no suspect identified
fa50ae60c3750f2472055d07e58c0eb4fb62b10e6e353b2974bdba27bca2bb13,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.451218,52.889567,On or near A514,E01013504,Derby 026C,Investigation complete; no suspect identified
8566887e267d625e30f43478e346fb67f36bd0dbb9b80528882d073831c01b2b,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.504224,52.919061,On or near Yoxall Drive,E01013455,Derby 017A,Investigation complete; no suspect identified
31006fb830cba291449c5e97130126cb993e9362ec996b8da655ce83e1866611,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.502009,52.924122,On or near Cobden Street,E01013550,Derby 011B,Unable to prosecute suspect
4a417f9b11ae979bb0d99c8fcb5ad14b984f9226f1d36ae52b1374b2a9e5c01f,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.415723,53.191041,On or near Birkin Avenue,E01019824,North East Derbyshire 010C,Investigation complete; no suspect identified
2cc1718a6ed1548e58add6b79bd60dc651846a01eb1f264d79403ae5e256fb13,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.655082,53.086838,On or near Dale End,E01019605,Derbyshire Dales 008B,Unable to prosecute suspect
c14d2dc72a3864df513e1e7a39c5cd48eaa04bfc845a62a19356d21a73498b55,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.912726,53.320926,On or near Park Crescent,E01019719,High Peak 013F,Investigation complete; no suspect identified
38f55490b1c22b7adb8bd33e632633ac583b0358c1b1682823a667e708a1c18b,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.341913,52.894757,On or near Victoria Road,E01019655,Erewash 013D,Unable to prosecute suspect
6cf8269719f355dca9c2d72e2b4d7e84d04f02c98deec41e105e901623cb296a,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.480438,52.923112,On or near Cheapside,E01034256,Derby 013G,Investigation complete; no suspect identified
f5836143e198b171a7450a0552f883a09bedb0c6923b59cc7acac81033d5b987,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.267229,52.895012,On or near Chapel Street,E01019682,Erewash 012D,Unable to prosecute suspect
b3a481fff9c51f4ab3fa3a584ea96240e371dd242137dfca7bd87caff28b7455,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.356256,53.310171,On or near Parking Area,E01032586,North East Derbyshire 014D,Unable to prosecute suspect
c033ca18b0a7b0b6feb20ec88623134e18072d6550b0e9e0ecd9ec5a7cb4dbbd,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.539353,52.770238,On or near Shiloh Close,E01033536,South Derbyshire 012D,Unable to prosecute suspect
39adcd307e7386a6b99e82ce748c230eceeb6259c3e71f88923f548d55bbdffe,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.499923,52.928320,On or near Kniveton Close,E01013522,Derby 008A,Investigation complete; no suspect identified
ccac314c0879d985d8aa81ae0c4ec851f2eeac815bc6946001d40527fe6b51f7,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.446260,53.048745,On or near Brook Street,E01019429,Amber Valley 006A,Investigation complete; no suspect identified
6457a571878e0cdb08f4a0d15d13f69c8763fe93c4096ffcba71b64874aee8cc,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.439503,52.901316,On or near Burnaby Street,E01013471,Derby 025A,Unable to prosecute suspect
07e08cd33d05288e8809023061779b751bd11858d1f914918574cc705fdc82c5,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.427546,53.233805,On or near South Place,E01033387,Chesterfield 010F,Unable to prosecute suspect
03963668c14cb4bc8f2c070b7d2ea344a4189f48fe628b7579d446ef264e8edd,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.334052,52.939265,On or near Hixon's Lane,E01019656,Erewash 008A,Investigation complete; no suspect identified
00b26896c0dcae77e4171e1f0ac0fedd88d33e393904af9b955e8a72b71ab6fa,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.504224,52.919061,On or near Yoxall Drive,E01013455,Derby 017A,Investigation complete; no suspect identified
6f6047f9d4d5bbef2c31e7262cc5422fb7f3817fcc51b936e9455108cf051edd,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.347534,53.193042,On or near Fern Close,E01019799,North East Derbyshire 009C,Unable to prosecute suspect
892cf8356be2ae3f4e3fbada7599b6359427152822b1c36868b2871498b2b645,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.376936,53.098607,On or near Mansfield Road,E01019400,Amber Valley 001A,Unable to prosecute suspect
851d56d23a98835c29c4b7038e761b3e14e3977a7d3ec0b47f277a0ba2e3c55e,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.479647,52.915795,On or near Supermarket,E01013480,Derby 016A,Local resolution
8bc852b7a780063dd28af30e482cced42d14aea50d2f2ef89e23a76abb3d1098,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.270499,52.899491,On or near Shopping Area,E01019682,Erewash 012D,Suspect charged
317d0fcc3c9b69a47bf3ca4a09157da05b225c17b53f423e772668201d191d18,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.267848,52.896220,On or near Clifford Street,E01019682,Erewash 012D,Suspect charged
4b975807168d89a4f88a0e50131f44ffd7062b24e640c0c0ff40d148cba35f68,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.270594,52.901766,On or near Supermarket,E01019679,Erewash 012C,Suspect charged
e25d81101cdc11b030a2f3301dacc31fecf6ad1d0690734ea8029e29f4d3ee19,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.488293,52.892699,On or near Coleridge Street,E01013573,Derby 023D,Unable to prosecute suspect
59c1ecacdeb20c2190c19b948d8649b4ab87219549ea40264b51f821d11aadd3,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.270499,52.899491,On or near Shopping Area,E01019682,Erewash 012D,Unable to prosecute suspect
6688208ef5bf855607a8352ca8b94906b0e34d6a80a3d287cbd381ef569c4dcc,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.273750,53.278631,On or near Hawthorn Close,E01019491,Bolsover 001C,Local resolution
d28158b86aba7aebe88589ad3dd77a7b1bf52eadc345dda31fee699c8d080888,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.273750,53.278631,On or near Hawthorn Close,E01019491,Bolsover 001C,Local resolution
eada26f9fddf546c91e7ffd5ba9e176121ea2d54e809f8476739ac6af185a2ed,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.428485,53.234196,On or near Parking Area,E01033387,Chesterfield 010F,Suspect charged
132e4890cde77d540501cb8aa320b09459f950bae9776ad2a0f66e43999b79fc,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.219712,53.261400,On or near Elmton Road,E01019498,Bolsover 003C,Unable to prosecute suspect
ad81604e264a47bbf4ead44e245806eb10d1eeb1db8a885f5d6a0cf406194465,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.556286,53.139223,On or near Bus/Coach Station,E01019624,Derbyshire Dales 005D,Suspect charged
010ca3df80da440453db0379d5d3d58fbfe100fcbd7b4a1ba126105b3ec20cb6,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.556286,53.139223,On or near Bus/Coach Station,E01019624,Derbyshire Dales 005D,Suspect charged
a6bc55c97cc089250e50974f512c458dcb909d81ceb240ac09c673967ec0c1aa,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.556246,53.138648,On or near Nightclub,E01019623,Derbyshire Dales 006C,Suspect charged
6bcb200c42c67c926f4094ff3e4af81f2551709fc999acd3a537bb94f6d7bba6,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.524470,52.922694,On or near Battersea Park Way,E01013555,Derby 009E,Unable to prosecute suspect
b69d130a4820b9b95b93c81417e6e8efa7728e8f36a5cdc7b07f0acc25fb6b61,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.907936,53.321363,On or near Warmbrook Road,E01019718,High Peak 013E,Suspect charged
e8748096dc4a169639f321860ea6ff453d60480889a5830a6112f1d84bd16e55,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.434144,52.945240,On or near Opal Close,E01013579,Derby 003F,Unable to prosecute suspect
6bec1874d720cbf17f32a915f926a6be9e201cc550234c79a693e9f4efed5a5b,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.400215,53.090340,On or near Dam Close,E01019404,Amber Valley 001D,Suspect charged
b5ca7e2af15fc9208ac17025535fb8996f6459c8689c5aad36f6d5b2e2d2d34b,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.350770,53.056947,On or near Kestrel Heights,E01019442,Amber Valley 005B,Suspect charged
661da79e47eef8307f22a787e7713a5172eca87e3f87a9a01b20418e1627ff69,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.882718,53.304235,On or near Limestone Court,E01019741,High Peak 013I,Local resolution
77b10851d23d6cfd32f1b18edd7c4335d722f40960e9630f88934b12f4adf76f,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.347533,53.059895,On or near Parkside Close,E01019442,Amber Valley 005B,Local resolution
a75f66f7b301726aaffd76fccb5cf6bf9d177f6c8da19405982a58a88b48d614,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.495593,52.919465,On or near Thomas Court,E01013453,Derby 013A,Unable to prosecute suspect
a9ce4387d1a1c1dada45f1682b35e0d8515fb4e04bcb890951244838f175c7b5,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.442094,52.918372,On or near Petrol Station,E01013509,Derby 012C,Suspect charged
ea2792e320e7aafa03787d0c4919f40dfae21e88c6f588f312423128fa9023bc,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.744351,53.011138,On or near Shopping Area,E01019598,Derbyshire Dales 009D,Suspect charged
9041db86435dcd0e71080f4734ce0500a12cce257adfc28e861c3642a982c470,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.434368,52.900680,On or near Curzon Lane,E01013477,Derby 025D,Suspect charged
6d6cbfe110a949344092feb1b3abad092705bae8ad175120b09e5c114312ba2d,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.469386,52.907332,On or near Catherine Street,E01013486,Derby 018D,Suspect charged
6cc84739f4225dafb527db0532c4f6f11b8d63254c49ed6ec30b651d2e792158,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.732447,53.015295,On or near Malbon's Yard,E01019598,Derbyshire Dales 009D,Suspect charged
bf7b266d0ea44611dfaaae907c0ce4d77829f519a8d8fcc1c07477f1ec6d6956,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.322119,53.086685,On or near Mill Lane,E01019499,Bolsover 010A,Unable to prosecute suspect
8ff5ac22f903f3a9941bd9c182b265646f651213026386503f4cc777fde27dfd,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.444523,52.880781,On or near Woodthorne Avenue,E01013518,Derby 030C,Investigation complete; no suspect identified
971e5b4c3ea76b9c4773ba92d27a81053a4613385b8e3766418e6eb889540e05,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.445035,52.893090,On or near Supermarket,E01013472,Derby 026A,Investigation complete; no suspect identified
63925aec29289626b830eaa98491141acc394a01a653757e380b7c7ec195af66,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.359664,53.257937,On or near Calver Crescent,E01019566,Chesterfield 002D,Unable to prosecute suspect
9f125a845be28928917523688868949a04097c554ad2b321868a76a9fa41b0e6,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.359664,53.257937,On or near Calver Crescent,E01019566,Chesterfield 002D,Suspect charged
eca4a2ceabfded3c60696a6837c63ff29a5a83f98b227ec1cfb3e75ef00d02ad,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.513335,52.790729,On or near Ticknall Road,E01019843,South Derbyshire 006A,Suspect charged
23f4b38b544f687e9fd7e1bc2c26b8f53cfdc29958f81dc911f7204ee9fd74c4,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.203834,53.282527,On or near Station Road,E01019524,Bolsover 002C,Suspect charged
499d020c1904599f4a93ee51b6baa691d223be63e81a7905bb67680ef9923f9a,2025-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.207350,53.283782,On or near Butt Hill,E01019524,Bolsover 002C,Suspect charged
