Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
df263da11606faa78619d8e7df74597b81a8da1f96a1c51fadacf2e6aebee2c9,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.332409,50.919681,On or near Moorhill Road,E01022719,Eastleigh 009G,Suspect charged
ae7982c3319055c7d68227c55b360e0714bc3b0ca6a27c5076556bee02094fa2,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.457880,50.923829,On or near Windrush Road,E01017237,Southampton 012B,Formal action is not in the public interest
3bc01951e91d63bfbacfa5c34ca581f507d1a424c0c220c0efbb9a8e8569a12f,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.403259,50.902736,On or near York Walk,E01017139,Southampton 033B,Suspect charged
e39574968bde97eda22df3c764cb5877bb3dde9bd266cbddeb68a662392d63f6,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.496613,51.220763,On or near Wetherby Gardens,E01023169,Test Valley 001B,Unable to prosecute suspect
f9c083cde1f49cc532aa8d9790aae5346857ed939647174a11ab48a53aaaa3a8,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.386958,50.977748,On or near Keble Close,E01022665,Eastleigh 003E,Action to be taken by another organisation
2b2bb368d9fa778da00eb7ddb73860f4f4d667210328e66c80bf074b46358fd4,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.062676,50.796247,On or near Specks Lane,E01017099,Portsmouth 017D,Local resolution
a9d50b9af9f2c3acd7072fa7c0880cd6dc21061d2d91265fc8852b922e5e3821,2025-08,Hampshire Constabulary,Hampshire Constabulary,-0.790236,51.297109,On or near Kenilworth Road,E01023135,Rushmoor 005E,Unable to prosecute suspect
9a64a03595ee98d8967fd09ea15583eac98d8e081d78e139657dfc7a185f887c,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.033894,50.879780,On or near Portland Road,E01022973,Havant 005D,Unable to prosecute suspect
77cc15728d3955280f939adf550acc2e5546194c3f58c2adc2a4b26d5c897d25,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.084663,50.813957,On or near Mills Road,E01017111,Portsmouth 011F,Unable to prosecute suspect
70c04ecbc5ada46bc009bcc654052dd192c70aeed11e300410f724fbd56652a6,2025-08,Hampshire Constabulary,Hampshire Constabulary,-0.933896,51.256296,On or near Tinley Gardens,E01022889,Hart 011C,Unable to prosecute suspect
e14758aa252b368d1b8f481ced1f8cae3a303d8257e1fcbf527792922cf40d6c,2025-08,Hampshire Constabulary,Hampshire Constabulary,-0.972753,50.869644,On or near Forestside Avenue,E01022917,Havant 009E,Unable to prosecute suspect
8ed7b971355dd2beae0316d334e5e14fe2b4eee252675f947b93a8b8f804ce88,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.409019,50.927468,On or near Park/Open Space,E01017249,Southampton 011C,Investigation complete; no suspect identified
f0a94c91bb1a801f92f62e91f6afcc5466e44f1c32a0f6772a76053f0d003942,2025-08,Hampshire Constabulary,Hampshire Constabulary,-1.185333,50.836664,On or near Frankport Way,E01022738,Fareham 011D,Suspect charged
d5ca3701a8df49fb6c2ca3d3bddc394977ffe0fac8b44dcc1bda0c14c5f176e8,2025-08,Hampshire Constabulary,Hampshire Constabulary,-0.917146,51.293406,On or near London Road,E01022880,Hart 004D,Unable to prosecute suspect
