Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b803bdf03e19d08ad3e96e803f669189c61c82d26a712fc5bf8bd813b9050da3,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.611968,53.355369,On or near Park Lane,E01012502,Warrington 024C,Local resolution
29f2f0f048749c0caa323c034c2e3b8eff188c58d8b920a9e5683ad2fdcd479b,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.770110,53.365977,On or near Crown Avenue,E01012388,Halton 006D,Unable to prosecute suspect
b50bec3a953a62f65df92d966cdf6d719ebc5879e38648c9cf272097ccf292ad,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.505617,53.426833,On or near Ashdown Lane,E01012462,Warrington 004B,Unable to prosecute suspect
e3451080d9c6fe5e8c46d9a9cae2161a80f6d37a214a7f38bd36b4911db1ad73,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.750758,53.358505,On or near Ditton Road,E01012443,Halton 008D,Unable to prosecute suspect
242e3feec5def62f190f06075e5ed8cc5d26481a8f15528279b9a31028a3b93d,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.712993,53.374359,On or near Smyth Road,E01012413,Halton 003D,Investigation complete; no suspect identified
b558118daf0edc8f4a36eff4348f7f9627c36dc8d01bae4ed496d2a314da817a,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.519224,53.068225,On or near Parking Area,E01018451,Cheshire East 047A,Unable to prosecute suspect
19957b810331d3197a8d6f0d839e1d7aedcb5429591b315edb05724a5e31e8a5,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.776435,53.375788,On or near Avon,E01012422,Halton 004E,Unable to prosecute suspect
db7eb22671bf6f4bd5dd94055aa79e594e022110406fbad4715dcc8797e9da14,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.531998,53.063315,On or near Lea Drive,E01018452,Cheshire East 050A,Suspect charged
cea6dc9cbe24af17f959bf9142abeaa935c90e44522e5114957c3e3d57a10d00,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.190808,53.304194,On or near Wilmslow Old Road,E01018667,Cheshire East 011B,Unable to prosecute suspect
739ef0ca2c68eb8a0875a9d2ecda9e4c63e4b293cec7edebb9163c8f5d2edb6a,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.211791,53.353677,On or near Ollerton Road,E01018594,Cheshire East 004D,Unable to prosecute suspect
1eeb1c5d4f912ec38014b5099c3e6765bd1305d46dc53da8be15876071f0ff76,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.647964,53.385894,On or near Phythian Crescent,E01012532,Warrington 019F,Investigation complete; no suspect identified
89b1bf2e861d6cb51faff139fe77db7a0624176ff129fe18c812aa517b73a9dd,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.527997,53.397801,On or near Gloucester Close,E01012553,Warrington 014C,Investigation complete; no suspect identified
5c6dd152beac28b61f46f24f366fc476aa7e42395f7bf364d0edd34e921002f4,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.596319,53.421426,On or near Elm Road,E01012539,Warrington 006E,Unable to prosecute suspect
013554ce080a522df558d7bea444391d0f5cdd9b821d7ee5b78b8db169cd546f,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.727706,53.367151,On or near Hibbert Street,E01012367,Halton 007A,Suspect charged
aed46ae32bdf810c9f33adba19a3f7c5bf1c7a72538fbe00cdff24d97baf28b4,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.208114,53.160128,On or near Albany Mill,E01018399,Cheshire East 027B,Unable to prosecute suspect
5672175af930a2f187c528ebcb106b60665d93b83ab8c022b145336e5386e253,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.654218,53.321122,On or near Coronation Road,E01012385,Halton 009A,Unable to prosecute suspect
aab39a78f9d6ac63bcc89b9d7f88288d08c7776d69e7e31c61180eac4a1e6e09,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.605526,53.397946,On or near Ellen Street,E01012454,Warrington 013B,Unable to prosecute suspect
7c3cfadd6032858c4ef533f199ee223b9ecfdc699a0e3ce0682946b9f535b1cc,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.747809,53.332527,On or near Lingfield Road,E01012429,Halton 012D,Suspect charged
94d70bba25c08768d8cfdff0c9b9391bfde54afb5e074e525fed542c3c521ca1,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.121805,53.249794,On or near White Street,E01018640,Cheshire East 021D,Unable to prosecute suspect
f0a74581759f2315cff575c80131b8a5f30852be45edf27024862e6112da471d,2025-09,Cheshire Constabulary,Cheshire Constabulary,-3.057261,53.298158,On or near B5136,E01018535,Cheshire West and Chester 001B,Unable to prosecute suspect
45d7c840826c1ab014da0bf1c147476cfe588b547fd44412d0c07f91926fd507,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.567039,53.401218,On or near Mason Avenue,E01012547,Warrington 012B,Unable to prosecute suspect
67b04b344e568c81848f3e0672b54bb10704e4f3d436c443220e265d0a884985,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.766699,53.360947,On or near Hale Road,E01012391,Halton 008B,Investigation complete; no suspect identified
4328353b6bd31e9a871cb9f2cb37e65b6b884ddb1b810975a965d04d3e274a71,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.358927,53.310269,On or near Parkgate,E01018609,Cheshire East 009B,Investigation complete; no suspect identified
4b71823ebe561ac1e9277acbf0b714ae8001ad94bdf10d9509d5ecb68788830d,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.579781,53.389283,On or near Egerton Street,E01012480,Warrington 017B,Unable to prosecute suspect
ba049831ac897280b72f3ff40d13b08380b726203b439c376e37dceedea02087,2025-09,Cheshire Constabulary,Cheshire Constabulary,-2.592974,53.398359,On or near Watkin Street,E01012483,Warrington 018C,Unable to prosecute suspect
