Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2025-09-01T00:00:30+00:00,,,53.429503,-2.809141,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T00:05:38+00:00,,,53.472811,-2.998064,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:07:51+00:00,,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,,,,,
Person search,2025-09-01T00:08:07+00:00,,,,,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,,,,,
Person search,2025-09-01T00:10:07+00:00,,,53.409292,-2.983398,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T00:15:55+00:00,,,53.421798,-2.810755,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:18:43+00:00,,,53.465764,-3.001303,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:19:40+00:00,,,53.403883,-2.829126,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:20:15+00:00,,,53.403879,-2.837444,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:25:41+00:00,,,53.425185,-2.842092,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:25:54+00:00,,,53.472275,-3.028424,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:27:22+00:00,,,53.470948,-3.020724,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:30:45+00:00,,,53.404497,-2.983799,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T00:30:48+00:00,,,53.417936,-2.802210,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:32:29+00:00,,,53.429127,-2.852855,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:35:44+00:00,,,,,,,,,,,,,
Person search,2025-09-01T00:39:36+00:00,,,53.417936,-2.802210,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T00:39:39+00:00,,,53.405780,-2.988491,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T01:10:54+00:00,,,53.403854,-2.981132,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T01:12:53+00:00,,,53.428195,-2.947909,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T01:25:07+00:00,,,53.421867,-2.784302,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T01:29:44+00:00,,,53.421580,-2.929479,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T01:37:20+00:00,,,53.412968,-2.912034,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T01:47:06+00:00,,,53.421113,-2.947736,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T02:26:02+00:00,,,53.420858,-2.781861,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T02:46:18+00:00,,,53.423252,-2.790889,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T04:11:37+00:00,,,53.409127,-2.866626,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T04:12:09+00:00,,,53.475439,-2.878720,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T04:18:49+00:00,,,53.477465,-2.898711,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T04:58:26+00:00,,,53.409127,-2.866626,,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T05:02:44+00:00,,,53.409127,-2.866626,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T05:09:25+00:00,,,53.448947,-2.770978,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T05:11:41+00:00,,,53.455562,-2.722109,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T05:19:31+00:00,,,53.415499,-2.911426,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T05:27:34+00:00,,,53.426428,-2.868182,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T06:31:12+00:00,,,53.412562,-2.944582,Male,over 34,Mixed/Multiple ethnic groups - White and Black African,Black,,,,,
Person search,2025-09-01T06:36:48+00:00,,,53.442380,-2.981151,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T06:41:49+00:00,,,53.402501,-2.986024,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T06:43:21+00:00,,,53.423957,-2.982848,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T06:47:22+00:00,,,53.423957,-2.982848,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T06:47:54+00:00,,,53.377951,-2.942794,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:07:38+00:00,,,53.394542,-3.179687,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:11:29+00:00,,,53.394542,-3.179687,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:17:46+00:00,,,53.424936,-2.955256,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:20:31+00:00,,,53.389231,-2.931570,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:29:49+00:00,,,53.447957,-2.968616,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:33:40+00:00,,,53.428705,-2.949290,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:39:37+00:00,,,53.437678,-2.966907,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:43:09+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T07:43:41+00:00,,,53.437788,-2.913002,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T08:09:07+00:00,,,53.454223,-2.720610,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T08:11:02+00:00,,,53.462082,-2.896820,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T08:12:14+00:00,,,53.452681,-2.960231,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T08:13:49+00:00,,,53.407848,-2.964200,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T08:23:21+00:00,,,53.411965,-2.957462,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,,,,,
Person search,2025-09-01T08:28:58+00:00,,,53.447957,-2.968616,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T10:01:22+00:00,,,53.412945,-2.940499,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person and Vehicle search,2025-09-01T10:42:21+00:00,,,53.415225,-2.904846,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-09-01T11:41:55+00:00,,,53.410000,-2.935454,Male,10-17,Black/African/Caribbean/Black British - African,Black,,,,,
Person search,2025-09-01T13:15:37+00:00,,,53.542788,-2.723472,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,,,,,
