Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1006b97a8a5b332cb881b3f5779828ad0f2f4a7c6dca1fc0f31a370bc28ac64d,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
39a75a7ff86ebc9aab5f98c3094a501f176274a82abead11e43e569ef88d8721,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
e607951c9ede1f0b4b2cd206e385cb9b835b69cbce43980bb507bdeb8ecf084a,2025-10,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
25891bdc4f1d9d554eca6ab21ce8a79f6cda84281be414e4a2029cb33e434198,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e1a2e04db57c67187fef6706a2f8483d51a85d14e5c8bbc2deb130512eb15c62,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2a9939a67adfa60803715ce991094b3fa17615e3e293ed0e17463e9b8f77f952,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
5cd31d1fafc602c3c43a5b5a8d9cef4565b46adade2bb3b2d86bdfb5c4da64cc,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9f0ef857fe88071b6513ad77597b7a2e2b8faa4ba10eaa1c6579ca8531e8ca8d,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ba3c129756a19492db274d3da30e89060a004a96c4e2d0bb269db65259169b62,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6e1221ee3583383bde7f2ff2df16d36a0da4019756d6a51d3606e5a32160e420,2025-10,City of London Police,City of London Police,-0.082993,51.516360,On or near Wormwood Street,E01032739,City of London 001F,Investigation complete; no suspect identified
bf8175886b94ace799817b7393d28be08b12b51511fb991ced15d468fb038b09,2025-10,City of London Police,City of London Police,-0.083349,51.514830,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
80f8539f96e5d82476db5c9e84072ff4b1787f5fbd9dbf8204209c3542224346,2025-10,City of London Police,City of London Police,-0.084754,51.512882,On or near Corbet Court,E01032739,City of London 001F,Investigation complete; no suspect identified
36f18c16797d144fcffc9f4ac99438eddbdb30ff2309744d53c5addd5f4bf49f,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4adccfe0c22d628689df74be5e511a20fb276368c8ce483bca281215b71f7ebb,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9682ffecf437f8d1aaf62a35af2a24b548324b0238dfcfb31eca0cbf7b3e4029,2025-10,City of London Police,City of London Police,-0.078849,51.516212,On or near Devonshire Square,E01000005,City of London 001E,Investigation complete; no suspect identified
e261866fb4725e0a48f1c08bec27488f29e9caa880c2f81b3af89e4f4850d1df,2025-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ba1c86b9fa2e7cdc35aa1c97b1eda3a61f6280bcccf389e17afde05bacafe7ba,2025-10,City of London Police,City of London Police,-0.105909,51.513262,On or near Dorset Buildings,E01032740,City of London 001G,Suspect charged
9568ddf00a18568cf46442ca69d6ee6834e83b851292204ca061a2ff9aadb65d,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
956be79847fdfc56306e6c87ec2243d69960da4005683b2a4affe7305b9b66dd,2025-10,City of London Police,City of London Police,-0.085228,51.511190,On or near Talbot Court,E01032739,City of London 001F,Unable to prosecute suspect
5741732e449171c0c329c8362c1025e5b46d7f67f0347610c699a886755d67ad,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
5741732e449171c0c329c8362c1025e5b46d7f67f0347610c699a886755d67ad,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
5741732e449171c0c329c8362c1025e5b46d7f67f0347610c699a886755d67ad,2025-10,City of London Police,City of London Police,,,No location,,,Suspect charged
