Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
831732e5c4033d077ee01ebf2604d6f3f4fb86928d45a77335e7df99c561495b,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b173a84ed71cd257d309851f1af35a23d7fd218c84bf214fabcfb57159c8c075,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.415123,50.615858,On or near Esplanade,E01019918,East Devon 019C,Suspect charged
98e4a4a4114c55fe703c73566903d60a86b874394e5bd6567454b0160a6c0341,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.523392,50.726207,On or near Cheeke Street,E01019995,Exeter 008B,Suspect charged
bd03709e99680721554ac071674ace5099745c3a9ca4488ee0aea8526013ca9b,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
146e40f1f0f4076818a7eb50ad62ee683545889ed8887e905ebeea53dbe02e48,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
b191f4c20721812f70078819b63c4b3d329ac5550f098686ad7579a8ff775b6a,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
02b4d10bcdb1f9b8d09cc48abf1eac47c2547728ecfb18e4f36927f2c8def734,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4dcd7af9ee1a74e45c634bb0840b8a6ae781dabbf6ab47ba009d119c40f59804,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.533287,50.724216,On or near Paul Street,E01020018,Exeter 008E,Unable to prosecute suspect
3a54079148590a4c33188b390a918409b0f45d63bb3862ef40ed27e07f2a71aa,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
467b939318e08132eafd981fd02381f279d5d879b2832b610459f5264642eea4,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.496420,50.546041,On or near Supermarket,E01020269,Teignbridge 010B,Suspect charged
802333d5f5a1b206f2a4dbc77d5df738d1ee23480ffe434473a0022c5d576fef,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8dd556e35ed60c027140c5e7285c3b03668ed541c1f0cc2af8af0bddf8a09942,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5466e7f6d241e08e35f01e5059f89b765aabbb69b6e928158e44175804ad8de0,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
2e67164ab55bbbc756df620289a28f2b55f80d9ad67c14bd6fa5f88577b72fc8,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4c07a7f5b6ab0d40c8d0b1b6dd17f5ec1c0a940613d2b2db8c25f7281305ae54,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-4.144705,50.366107,On or near Holyrood Place,E01034161,Plymouth 034D,Local resolution
a3b0e45a1909ef038d6c19ee217717722039e5ead5ad248ccfcf8f0f348ed66d,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
10b270db89233e8fab5a340f214b29112406095b379032a3877cd7f6a093a19c,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.473207,50.912030,On or near The Close,E01020067,Mid Devon 004D,Unable to prosecute suspect
117bd2a1f837794ee02869409f96d56065af99ffebd77431ddc2851a47cae243,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-4.155186,50.370887,On or near Parking Area,E01015153,Plymouth 033C,Unable to prosecute suspect
f793f636341624d98c117d1d983ab2d9035a2fc82468e16ea4e8abd346109875,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
e0dc9933a9e9566822313956db83f7017f3d69e48403821446a6c38ebd9783a4,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.515844,50.481396,On or near Oddicombe Beach Hill,E01015240,Torbay 005A,Investigation complete; no suspect identified
8c2b48441d5236f42fee4df34b8ec1a8346d58dce07cd8f5b8503ea605876b74,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
bdbfe891e3aae07eff40f20644b1eddbb1870d5a0bb4dc20a7b86214de0c9b5a,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
acce8ab1caf495e3e0cb9d25d4ef8776398847e695e838c562054ce411b14baf,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-5.227820,50.233414,On or near Market Strand,E01018913,Cornwall 049B,Unable to prosecute suspect
5a821625740eb3828daa6fcf8eb88b09add87c40b38cacc485e84836efd96477,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
595d2d00cf19d55bd699ca11800531f4b028447f3f9a3eb703e48379fbe0789e,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
02673c7630469f5694f4d299337a7ea27d989bf43f847dd0f5adddfa47115397,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
e2609650c1403b89ed92ea8641d9bc2c034a36e899b2b8d04c72a51445b5da80,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-4.152522,50.376657,On or near St Barnabas Terrace,E01015172,Plymouth 033B,Local resolution
d7d2552113539ec6bb2d52d6f73c6647ddbce1e774802ce6f9bb6674e22cb970,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
e769a1d941beccc95865f56334b7ae7f0ca98d446a62767d732bd29ae614a1de,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
ac21fb7a8fce54eca73bf9da3ea30104f79a0c237c35d4fb794a75a7557ddf6b,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
00d680468089da6a141826c8b9ba411730abcdab483a63702215e41938aacc6d,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b0f149605e63277ed1ef8521d6d4f0d31d0ef9eb1c59898bf807050974402452,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.487509,50.736222,On or near Bernadette Close,E01020005,Exeter 003E,Unable to prosecute suspect
29dc90ed69f8bfbb9f8ff6a5c265f862226f805c05025dad8456f74701899ad2,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ccdef8c9236aa7bef0d255b1302622d285586463ba112b59f2506c26c158dbda,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-4.942560,50.432365,On or near West Park,E01019062,Cornwall 019C,Investigation complete; no suspect identified
40403e7fd090497fc383afe583db7e8766bb26987c9ae26c77e620e8481cc29a,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Further investigation is not in the public interest
bd533336209f70f75568089ae357e97e4a6964b2421dac7a48e8f8bb954bc9fe,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
cb97f974ea8b9000eefa4174ad998a0e609b75ac2a2cca02983ce5ea398c153c,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.684750,50.431109,On or near Fore Street,E01020183,South Hams 003D,Investigation complete; no suspect identified
80c4bf2ee1b8299602e9711ff627f8d1fa0f187425b18e33dc91ff2a0564987f,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-4.519234,50.830834,On or near A39,E01018960,Cornwall 001E,Investigation complete; no suspect identified
6ad88e8dbd3bc88caa88c6d6adf5988ceb1a1ae941675317e37c31fbcf3e376a,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.518652,50.722465,On or near College Road,E01019996,Exeter 009A,Investigation complete; no suspect identified
4c8491f0587a171e42ee060f525bf5e613f7c75d7901f7ace6da216a26918b7f,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.526690,50.468933,On or near Potters Hill,E01015217,Torbay 008A,Unable to prosecute suspect
3adcba3ed515cab5ccf7b3fc1485e1e3c6e96d0cfad7d8ab32a1455ca6d37eb0,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
5fad70b7993ca4aef7a45214505e97d4ceaf9f6bfa4ea79850058ed881d2db20,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b91c42bee3b1d811dc0eceff8a25ac3ee6b817e8f65fc76cf7e1758ac9f00c1f,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
617e729b1cf5039c0972b7ecf1e48d9a6b3493ee120e05c7ec5c3fa85a2eeb6f,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.494160,50.718564,On or near Wilford Road,E01020014,Exeter 013D,Unable to prosecute suspect
1a2c75e4cc32ff7a71fa25d31aecf299d9b3b149d132511fb2e854f2d5072c41,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,-3.524298,50.470808,On or near Orchard Road,E01015214,Torbay 006A,Unable to prosecute suspect
0e8be8c5194fee72b3250fd3d9a386a853b8333b45ef03a8d53b1b5c7f546d0f,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
927287c797f5648cce962df2885e0748c8017855cd6420516167f21f41dd5a7a,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
2104d257d5e1190660535c7d9b5f6a8c30b9685857f77bc6a4f4e27e1e6abd0e,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a03468774dbfc13f8c80c4bb2e299f7e76e29eefd02cfa0a56f401180f076e5e,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4325cbc8115ca2bb449def0e128e2b93d6fbc1edb7e927d5ed65ae3403cce4ff,2025-10,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
