Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-11-01T00:05:00+00:00,,,51.827665,-3.858185,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person and Vehicle search,2025-11-01T00:05:00+00:00,,,51.827665,-3.858185,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-01T01:24:00+00:00,,,51.666929,-4.104668,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-01T04:18:00+00:00,,,51.683136,-4.238894,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,,False,False
Person search,2025-11-01T04:55:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-01T04:55:00+00:00,,,51.955177,-3.398393,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-01T08:58:00+00:00,,,51.853371,-4.317724,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Evidence of offences under the Act,,False,False
Person and Vehicle search,2025-11-01T09:41:00+00:00,,,52.509757,-3.314822,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,Arrest,True,False
Person and Vehicle search,2025-11-01T09:41:00+00:00,,,52.509757,-3.314822,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,Arrest,True,False
Person and Vehicle search,2025-11-01T09:41:00+00:00,,,52.509757,-3.314822,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,Arrest,True,False
Person and Vehicle search,2025-11-01T15:11:00+00:00,,,51.672587,-4.116942,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-01T19:36:00+00:00,,,51.674176,-4.162996,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,Arrest,True,False
Person search,2025-11-01T19:36:00+00:00,,,51.674176,-4.162996,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person search,2025-11-01T19:39:00+00:00,,,51.671272,-4.705048,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,,False,False
Person search,2025-11-01T21:40:00+00:00,,,51.685529,-4.259182,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-01T21:40:00+00:00,,,51.685529,-4.259182,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-01T23:57:00+00:00,,,51.858232,-4.302841,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,True,False
Person search,2025-11-02T00:34:00+00:00,,,51.758713,-4.996024,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,,False,False
Person search,2025-11-02T01:00:00+00:00,,,52.227310,-4.268320,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-02T01:06:00+00:00,,,51.750547,-4.532553,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person and Vehicle search,2025-11-02T01:06:00+00:00,,,51.792207,-4.119873,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-02T02:00:00+00:00,,,51.714464,-5.058425,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,,False,False
Person search,2025-11-02T11:27:00+00:00,,,51.677202,-4.705691,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-02T11:52:00+00:00,,,51.929732,-3.626416,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,True,False
Person search,2025-11-02T13:25:00+00:00,,,51.944055,-3.384734,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-02T13:25:00+00:00,,,51.944055,-3.384734,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person and Vehicle search,2025-11-02T15:55:00+00:00,,,51.871040,-3.232232,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,False
Person search,2025-11-02T16:00:00+00:00,,,51.872569,-3.233139,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,True,False
Person search,2025-11-02T16:20:00+00:00,,,51.872569,-3.233139,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,False,False
Person search,2025-11-02T16:38:00+00:00,,,51.872569,-3.233139,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,,Controlled drugs,,True,False
