Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c015cd828d803db20339a6385c3d43280de8f3bbf6c284932320a2d54707f3e1,2025-12,Wiltshire Police,Wiltshire Police,-2.283438,51.351594,On or near B3108,E01032059,Wiltshire 023B,Investigation complete; no suspect identified
08c76512bb088e6e734bd5669873f9c91cddd44e4e83261e17b03686839e9df4,2025-12,Wiltshire Police,Wiltshire Police,-1.773407,51.550999,On or near B4006,E01015534,Swindon 024B,Investigation complete; no suspect identified
d5e9dc2c067306cff1154ba81ed4210fc96b7c8f0d834b6c97e86623ce075e79,2025-12,Wiltshire Police,Wiltshire Police,-1.781431,51.558845,On or near Regent Circus,E01032714,Swindon 019E,Unable to prosecute suspect
26c532bf94021efae25c9eabea725bcc093b0afec245826ff0a17516f917ec37,2025-12,Wiltshire Police,Wiltshire Police,-2.133551,51.449798,On or near B4643,E01031913,Wiltshire 011C,Investigation complete; no suspect identified
2219502415bed21c4901d1320501ed1d0db5772699a9fcd1d90e293710f24ab4,2025-12,Wiltshire Police,Wiltshire Police,-1.773405,51.562966,On or near Gambia Street,E01015475,Swindon 015A,Unable to prosecute suspect
d2a6d4e8e15a7f05ad9c42f78bc818da5c0e720809212ae16227fbb1106f5555,2025-12,Wiltshire Police,Wiltshire Police,-2.195829,51.213309,On or near Bath Road,E01032111,Wiltshire 043B,Suspect charged
04169ea0ed147e95b0ca0d44ebd3b848c593bb1e67e8aadbbf1c29af37321909,2025-12,Wiltshire Police,Wiltshire Police,-1.773407,51.550999,On or near B4006,E01015534,Swindon 024B,Unable to prosecute suspect
cdbba81658a46986074ad3d1b73fb24549b73d94c722b10bbdd7d8fa98acf255,2025-12,Wiltshire Police,Wiltshire Police,-1.941010,51.313690,On or near The Ham,E01031883,Wiltshire 034D,Suspect charged
dde6f08a60cd83a1f50ed23a0517976bec523db425fafceda788aa88679411d1,2025-12,Wiltshire Police,Wiltshire Police,-1.786438,51.580164,On or near Doris Archer Court,E01015507,Swindon 007B,Offender given a caution
2109ee2017fcca95d0897660674baadd7d7e55ea77d8a0be7c65797338114119,2025-12,Wiltshire Police,Wiltshire Police,-1.743718,51.560091,On or near Shoscombe Green,E01015537,Swindon 020A,Suspect charged
fc458ef04be973d3d00ea67999366897151bfd04b82cefe0a90fb5689dd5ea13,2025-12,Wiltshire Police,Wiltshire Police,-1.743718,51.560091,On or near Shoscombe Green,E01015537,Swindon 020A,Suspect charged
